text,num_aspects,aspects,aspect_term,sentiment,confidence
"I just got MMR and COVID vaccines yesterday. I got the former cause titers showed I was no longer immune to mumps, which wouldn’t be an issue if it weren’t for anti-vaxxers intent on undermining herd immunity.",3,"immunity, covid, mmr",mmr,neutral,0.966
"Follows up on a previous piece, looking at how the insights apply to the UK context: 

‘It's a shot, not a vaccine like MMR’: A new type of vaccine-specific scepticism on Twitter/X during the COVID-19 pandemic

www.sciencedirect.com/science/arti...",3,"vaccine, covid, mmr",vaccine,neutral,0.851
"Follows up on a previous piece, looking at how the insights apply to the UK context: 

‘It's a shot, not a vaccine like MMR’: A new type of vaccine-specific scepticism on Twitter/X during the COVID-19 pandemic

www.sciencedirect.com/science/arti...",3,"vaccine, covid, mmr",covid,neutral,0.914
"Follows up on a previous piece, looking at how the insights apply to the UK context: 

‘It's a shot, not a vaccine like MMR’: A new type of vaccine-specific scepticism on Twitter/X during the COVID-19 pandemic

www.sciencedirect.com/science/arti...",3,"vaccine, covid, mmr",mmr,neutral,0.843
"Definitely.

There is no excuse for there not being massive MMR vaccine clinics that are easy to access. This outbreak is massive!

Still, masking is protection from infection. We can stop circulating measles, Covid & other airborne diseases. AND keep out wildfire smoke.",5,"protection, vaccine, measles, covid, mmr",protection,neutral,0.59
"Definitely.

There is no excuse for there not being massive MMR vaccine clinics that are easy to access. This outbreak is massive!

Still, masking is protection from infection. We can stop circulating measles, Covid & other airborne diseases. AND keep out wildfire smoke.",5,"protection, vaccine, measles, covid, mmr",vaccine,neutral,0.645
"Definitely.

There is no excuse for there not being massive MMR vaccine clinics that are easy to access. This outbreak is massive!

Still, masking is protection from infection. We can stop circulating measles, Covid & other airborne diseases. AND keep out wildfire smoke.",5,"protection, vaccine, measles, covid, mmr",measles,neutral,0.805
"Definitely.

There is no excuse for there not being massive MMR vaccine clinics that are easy to access. This outbreak is massive!

Still, masking is protection from infection. We can stop circulating measles, Covid & other airborne diseases. AND keep out wildfire smoke.",5,"protection, vaccine, measles, covid, mmr",covid,neutral,0.9
"Definitely.

There is no excuse for there not being massive MMR vaccine clinics that are easy to access. This outbreak is massive!

Still, masking is protection from infection. We can stop circulating measles, Covid & other airborne diseases. AND keep out wildfire smoke.",5,"protection, vaccine, measles, covid, mmr",mmr,positive,0.773
"Maybe that’s the kind of records they wanna break? More measle cases, more Covid 19 deaths, more preventable weather related deaths!? What will Trump and regime come up with next to kill us? 
I bet they’re celebrating right now, we’re #1 in preventable diseases!",1,covid,covid,neutral,0.732
same morons that didnt want the covid vaccine didnt vax their kids.. and just like that measle is back i guess polio will be next,2,"vaccine, covid",vaccine,neutral,0.834
same morons that didnt want the covid vaccine didnt vax their kids.. and just like that measle is back i guess polio will be next,2,"vaccine, covid",covid,neutral,0.807
Good for you.  it's sure to be a Measle-fest or worse a COVID super spreader event.,1,covid,covid,neutral,0.656
"Back in the fall, Smith and her posse announced when COVID vaccine would be available then went silent. Thank you pharmacists for promoting COVID vaccines. 
Currently an explosion of measle cases in southern AB. Smith caters to the antivax crowd. 
Pathetic leadership all around followed by chaos.",2,"vaccine, covid",vaccine,neutral,0.923
"Back in the fall, Smith and her posse announced when COVID vaccine would be available then went silent. Thank you pharmacists for promoting COVID vaccines. 
Currently an explosion of measle cases in southern AB. Smith caters to the antivax crowd. 
Pathetic leadership all around followed by chaos.",2,"vaccine, covid",covid,neutral,0.893
"bsky.app/profile/davi... 

I sure add one more wing nut to the mix. Measle infections are increasing because of RFK's reckless misinformation rants.

Covid hasn't been irradiated either. It is manageable because of vaccines and herd immunity for now.

#Anti_vaxers_kill
#Vaccines_savelives",2,"immunity, covid",immunity,positive,0.912
"bsky.app/profile/davi... 

I sure add one more wing nut to the mix. Measle infections are increasing because of RFK's reckless misinformation rants.

Covid hasn't been irradiated either. It is manageable because of vaccines and herd immunity for now.

#Anti_vaxers_kill
#Vaccines_savelives",2,"immunity, covid",covid,neutral,0.695
"That’s why I got a Measles booster, and a Hep A vaccine just in case. I think we can expect there won’t be a Flu vaccine this Fall and no Covid vacc updates. And with some states passing egregious laws that mind blowingly  make it illegal to offer Covid shots I look for mortalities to surge.",3,"vaccine, measles, covid",vaccine,neutral,0.943
"That’s why I got a Measles booster, and a Hep A vaccine just in case. I think we can expect there won’t be a Flu vaccine this Fall and no Covid vacc updates. And with some states passing egregious laws that mind blowingly  make it illegal to offer Covid shots I look for mortalities to surge.",3,"vaccine, measles, covid",measles,neutral,0.964
"That’s why I got a Measles booster, and a Hep A vaccine just in case. I think we can expect there won’t be a Flu vaccine this Fall and no Covid vacc updates. And with some states passing egregious laws that mind blowingly  make it illegal to offer Covid shots I look for mortalities to surge.",3,"vaccine, measles, covid",covid,neutral,0.738
"I see what you are saying re LC not being widely presented as an added reason to receive COVID vacc. For some people (when they know) that is very motivating. 

Speaking generally, I don't think the evidence shows that's why some parents missed or skipped their kids' measles vaccines in 2020-2025.",2,"measles, covid",measles,neutral,0.562
"I see what you are saying re LC not being widely presented as an added reason to receive COVID vacc. For some people (when they know) that is very motivating. 

Speaking generally, I don't think the evidence shows that's why some parents missed or skipped their kids' measles vaccines in 2020-2025.",2,"measles, covid",covid,neutral,0.895
"Doctors are AMAZED at these 10 ways to BOOST your immune system:

-The Tetanus vaccine 
-The Measles vaccine 
-The Polio vaccine 
-The Mumps vaccine 
-The HPV vaccine 
-The Pneumonia vaccine 
-The Hepatitis B vaccine 
-The Rubella vaccine 
-The Diphtheria vaccine 
-The Covid-19 vaccine

@HislopMD",3,"vaccine, measles, covid",vaccine,neutral,0.843
"Doctors are AMAZED at these 10 ways to BOOST your immune system:

-The Tetanus vaccine 
-The Measles vaccine 
-The Polio vaccine 
-The Mumps vaccine 
-The HPV vaccine 
-The Pneumonia vaccine 
-The Hepatitis B vaccine 
-The Rubella vaccine 
-The Diphtheria vaccine 
-The Covid-19 vaccine

@HislopMD",3,"vaccine, measles, covid",measles,neutral,0.912
"Doctors are AMAZED at these 10 ways to BOOST your immune system:

-The Tetanus vaccine 
-The Measles vaccine 
-The Polio vaccine 
-The Mumps vaccine 
-The HPV vaccine 
-The Pneumonia vaccine 
-The Hepatitis B vaccine 
-The Rubella vaccine 
-The Diphtheria vaccine 
-The Covid-19 vaccine

@HislopMD",3,"vaccine, measles, covid",covid,neutral,0.88
"Doctors are AMAZED at these 10 ways to BOOST your immune system:

The Tetanus vaccine
The Measles vaccine
The Polio vaccine
The Mumps vaccine
The HPV vaccine
The Pneumonia vaccine
The Hepatitis B vaccine
The Rubella vaccine
The Diphtheria vaccine
The Covid-19 vaccine

- @hislopmd.bsky.social",3,"vaccine, measles, covid",vaccine,neutral,0.854
"Doctors are AMAZED at these 10 ways to BOOST your immune system:

The Tetanus vaccine
The Measles vaccine
The Polio vaccine
The Mumps vaccine
The HPV vaccine
The Pneumonia vaccine
The Hepatitis B vaccine
The Rubella vaccine
The Diphtheria vaccine
The Covid-19 vaccine

- @hislopmd.bsky.social",3,"vaccine, measles, covid",measles,neutral,0.931
"Doctors are AMAZED at these 10 ways to BOOST your immune system:

The Tetanus vaccine
The Measles vaccine
The Polio vaccine
The Mumps vaccine
The HPV vaccine
The Pneumonia vaccine
The Hepatitis B vaccine
The Rubella vaccine
The Diphtheria vaccine
The Covid-19 vaccine

- @hislopmd.bsky.social",3,"vaccine, measles, covid",covid,neutral,0.91
"I am sorry for their grief. Rescuing minors from cult members is difficult.Adults, however risk all of us with their willfull ignorance. If possible, isolate all of them, TOGETHER. Wait 4 measles, mumps, hepatitis, whooping cough,COVID # X, polio & smallpox 2 kill them NATURALLY.Then flat earthers.",3,"measles, covid, risk",measles,neutral,0.785
"I am sorry for their grief. Rescuing minors from cult members is difficult.Adults, however risk all of us with their willfull ignorance. If possible, isolate all of them, TOGETHER. Wait 4 measles, mumps, hepatitis, whooping cough,COVID # X, polio & smallpox 2 kill them NATURALLY.Then flat earthers.",3,"measles, covid, risk",covid,neutral,0.741
"I am sorry for their grief. Rescuing minors from cult members is difficult.Adults, however risk all of us with their willfull ignorance. If possible, isolate all of them, TOGETHER. Wait 4 measles, mumps, hepatitis, whooping cough,COVID # X, polio & smallpox 2 kill them NATURALLY.Then flat earthers.",3,"measles, covid, risk",risk,negative,0.788
"As a nurse, I was vaccinated for Hep B with no ill effects. Also vaccinated against measles, mumps, polio, diphtheria, tetanus, whooping cough, influenza, RSV, shingles and Covid. As a nurse, I strongly recommend vaccination to prevent preventable and possibly deadly disease.",3,"vaccination, measles, covid",vaccination,positive,0.849
"As a nurse, I was vaccinated for Hep B with no ill effects. Also vaccinated against measles, mumps, polio, diphtheria, tetanus, whooping cough, influenza, RSV, shingles and Covid. As a nurse, I strongly recommend vaccination to prevent preventable and possibly deadly disease.",3,"vaccination, measles, covid",measles,neutral,0.91
"As a nurse, I was vaccinated for Hep B with no ill effects. Also vaccinated against measles, mumps, polio, diphtheria, tetanus, whooping cough, influenza, RSV, shingles and Covid. As a nurse, I strongly recommend vaccination to prevent preventable and possibly deadly disease.",3,"vaccination, measles, covid",covid,neutral,0.933
"I’m not from the area; trying to figure out which vaccines are required. I’m guessing measles & chicken pox, probably mumps, pertussis, rubella & polio—anything else? What about Covid & RSV?",2,"measles, covid",measles,neutral,0.78
"I’m not from the area; trying to figure out which vaccines are required. I’m guessing measles & chicken pox, probably mumps, pertussis, rubella & polio—anything else? What about Covid & RSV?",2,"measles, covid",covid,neutral,0.854
"File under: not even a tiny bit surprising

""panelists repeated old COVID grievances, re-litigated solved issues around thimerosal and the measles, mumps, rubella, and varicella (MMRV) vaccine, and asked basic questions about epidemiologic methods""

They...

1/2

www.medpagetoday.com/infectiousdi...",3,"vaccine, measles, covid",vaccine,neutral,0.961
"File under: not even a tiny bit surprising

""panelists repeated old COVID grievances, re-litigated solved issues around thimerosal and the measles, mumps, rubella, and varicella (MMRV) vaccine, and asked basic questions about epidemiologic methods""

They...

1/2

www.medpagetoday.com/infectiousdi...",3,"vaccine, measles, covid",measles,neutral,0.963
"File under: not even a tiny bit surprising

""panelists repeated old COVID grievances, re-litigated solved issues around thimerosal and the measles, mumps, rubella, and varicella (MMRV) vaccine, and asked basic questions about epidemiologic methods""

They...

1/2

www.medpagetoday.com/infectiousdi...",3,"vaccine, measles, covid",covid,neutral,0.778
"There is no patent on Covid.
The CDC did not name it, the WHO did .
Viruses evolve; vaccines evolve to train the body to fight off a virus. 
We do know that vaccines stop viruses, because they have stopped polio, measles, mumps, scarlet fever, diphtheria, pneumonia, pertussis, influenza, Sars.",2,"measles, covid",measles,neutral,0.87
"There is no patent on Covid.
The CDC did not name it, the WHO did .
Viruses evolve; vaccines evolve to train the body to fight off a virus. 
We do know that vaccines stop viruses, because they have stopped polio, measles, mumps, scarlet fever, diphtheria, pneumonia, pertussis, influenza, Sars.",2,"measles, covid",covid,neutral,0.884
"Bird flu, welcome to the USA. We have rolled out the red carpet for you.  Oh, and DO bring your friends COVID and Bubonic Plague, Measles, Whooping Cough, Mumps, Polio.  Hell, just bring everyone",2,"measles, covid",measles,neutral,0.829
"Bird flu, welcome to the USA. We have rolled out the red carpet for you.  Oh, and DO bring your friends COVID and Bubonic Plague, Measles, Whooping Cough, Mumps, Polio.  Hell, just bring everyone",2,"measles, covid",covid,neutral,0.876
"Pretty sure that the million Trump killed with Covid, plus the ?1/2 million kids who will get measles, mumps, rubella, plus the swathes that will be mowed down by the next pandemic should be reason enough to depose your ""king"".",2,"measles, covid",measles,neutral,0.739
"Pretty sure that the million Trump killed with Covid, plus the ?1/2 million kids who will get measles, mumps, rubella, plus the swathes that will be mowed down by the next pandemic should be reason enough to depose your ""king"".",2,"measles, covid",covid,neutral,0.939
"WHILE YOU CAN
GET VACCINATED
Measles, mumps, rubella
Tetanus, Diphtheria
Hep A, Hep B 
IPV
Flu
Covid
Shingles (especially if you have had chicken pox)

Now, before they are gone",2,"measles, covid",measles,neutral,0.744
"WHILE YOU CAN
GET VACCINATED
Measles, mumps, rubella
Tetanus, Diphtheria
Hep A, Hep B 
IPV
Flu
Covid
Shingles (especially if you have had chicken pox)

Now, before they are gone",2,"measles, covid",covid,neutral,0.792
Vaccines save lives: 1796 smallpox. 1885 rabies. 1890 tetanus. 1896 typhoid fever. 1906 TB. 1923 diphtheria. 1926 whooping cough. 1932 yellow fever. 1945 flu. 1952 polio. 1963 measles. 1967 mumps. 1969 rubella. 1974 chickenpox. 1990 cancer. 2019 COVID-19. Is more testing needed?,2,"measles, covid",measles,neutral,0.873
Vaccines save lives: 1796 smallpox. 1885 rabies. 1890 tetanus. 1896 typhoid fever. 1906 TB. 1923 diphtheria. 1926 whooping cough. 1932 yellow fever. 1945 flu. 1952 polio. 1963 measles. 1967 mumps. 1969 rubella. 1974 chickenpox. 1990 cancer. 2019 COVID-19. Is more testing needed?,2,"measles, covid",covid,neutral,0.891
Vaccines save lives: 1796 smallpox. 1885 rabies. 1890 tetanus. 1896 typhoid fever. 1906 TB. 1923 diphtheria. 1926 whooping cough. 1932 yellow fever. 1945 flu. 1952 polio. 1963 measles. 1967 mumps. 1969 rubella. 1974 chickenpox. 1990 cancer. 2019 COVID-19. Is more testing really needed?,2,"measles, covid",measles,neutral,0.876
Vaccines save lives: 1796 smallpox. 1885 rabies. 1890 tetanus. 1896 typhoid fever. 1906 TB. 1923 diphtheria. 1926 whooping cough. 1932 yellow fever. 1945 flu. 1952 polio. 1963 measles. 1967 mumps. 1969 rubella. 1974 chickenpox. 1990 cancer. 2019 COVID-19. Is more testing really needed?,2,"measles, covid",covid,neutral,0.889
"We need to inject The Junkie with measles and see how he feels about it. Also, mumps and covid. So we cover our bases.",2,"measles, covid",measles,neutral,0.965
"We need to inject The Junkie with measles and see how he feels about it. Also, mumps and covid. So we cover our bases.",2,"measles, covid",covid,neutral,0.844
"We're there already. 

Stupid patriotism ✔️
People dying ✔️
Crumbling infrastructure ✔️
Scurvy✔️ 
Also, TB✔️, Polio✔️, Measles✔️, Mumps✔️, Rubella✔️, More Covid✔️",2,"measles, covid",measles,neutral,0.665
"We're there already. 

Stupid patriotism ✔️
People dying ✔️
Crumbling infrastructure ✔️
Scurvy✔️ 
Also, TB✔️, Polio✔️, Measles✔️, Mumps✔️, Rubella✔️, More Covid✔️",2,"measles, covid",covid,neutral,0.658
"Only my opinion:Round them up or let them ""self cult immerse""in HHS camps.Let them give each other measles, mumps,diphtheria,smallpox, chicken pox, polio,Covid, pneumonia ETC. Let them DIE OUT. I include incels,Nazis,most GOP,all supremacists  and flat earthers in the ""mentally ill"" category.",2,"measles, covid",measles,neutral,0.921
"Only my opinion:Round them up or let them ""self cult immerse""in HHS camps.Let them give each other measles, mumps,diphtheria,smallpox, chicken pox, polio,Covid, pneumonia ETC. Let them DIE OUT. I include incels,Nazis,most GOP,all supremacists  and flat earthers in the ""mentally ill"" category.",2,"measles, covid",covid,neutral,0.879
"OMG this commercial for meningitis vaccine and it's teens share everything. 

No when, I was not drinking from my friends' cups and licking their ice creams and using their lip gloss. Probably because my mom is a germophobe but still. And we're in the age of COVID and measles and mumps? So gross.",3,"vaccine, measles, covid",vaccine,neutral,0.927
"OMG this commercial for meningitis vaccine and it's teens share everything. 

No when, I was not drinking from my friends' cups and licking their ice creams and using their lip gloss. Probably because my mom is a germophobe but still. And we're in the age of COVID and measles and mumps? So gross.",3,"vaccine, measles, covid",measles,negative,0.607
"OMG this commercial for meningitis vaccine and it's teens share everything. 

No when, I was not drinking from my friends' cups and licking their ice creams and using their lip gloss. Probably because my mom is a germophobe but still. And we're in the age of COVID and measles and mumps? So gross.",3,"vaccine, measles, covid",covid,neutral,0.761
"who needs COVID if you have measles, flu, tetanus, hepatitis, mumps, rubella and more & that Mr Kennedy Jr in charge?",2,"measles, covid",measles,neutral,0.936
"who needs COVID if you have measles, flu, tetanus, hepatitis, mumps, rubella and more & that Mr Kennedy Jr in charge?",2,"measles, covid",covid,neutral,0.889
Or add scurvy to polio measles mumps small pox and covid! Maha my ass,2,"measles, covid",measles,negative,0.541
Or add scurvy to polio measles mumps small pox and covid! Maha my ass,2,"measles, covid",covid,neutral,0.724
"No, that's for Covid. Vitamin A--usually, ironically, in the form of a pharmaceutical product, a pill or capsule--and cod liver oil are ""sure cures"" for measles.
And don't get us started on chicken pox or mumps!
🥴",2,"measles, covid",measles,neutral,0.892
"No, that's for Covid. Vitamin A--usually, ironically, in the form of a pharmaceutical product, a pill or capsule--and cod liver oil are ""sure cures"" for measles.
And don't get us started on chicken pox or mumps!
🥴",2,"measles, covid",covid,neutral,0.94
"So Americans are now going to be getting:
Covid
Measles
Mumps
Rubella
Mesothelioma
And all the while cutting Medicare.
MAGA",2,"measles, covid",measles,neutral,0.634
"So Americans are now going to be getting:
Covid
Measles
Mumps
Rubella
Mesothelioma
And all the while cutting Medicare.
MAGA",2,"measles, covid",covid,neutral,0.836
"RFKjr’s impact: “In as little as 2 years, Cases of measles, mumps, whooping cough, rubella, diphtheria, polio, tetanus, influenza, COVID, HPV and many more diseases will rapidly rise. Hospitalizations will skyrocket.” But fewer Americans will have health insurance.
www.arcamax.com/politics/ope...",2,"measles, covid",measles,neutral,0.788
"RFKjr’s impact: “In as little as 2 years, Cases of measles, mumps, whooping cough, rubella, diphtheria, polio, tetanus, influenza, COVID, HPV and many more diseases will rapidly rise. Hospitalizations will skyrocket.” But fewer Americans will have health insurance.
www.arcamax.com/politics/ope...",2,"measles, covid",covid,neutral,0.83
"polio measles mumps rubella covid flu all waiting for you.  #resist 
www.reuters.com/business/hea...",2,"measles, covid",measles,neutral,0.608
"polio measles mumps rubella covid flu all waiting for you.  #resist 
www.reuters.com/business/hea...",2,"measles, covid",covid,neutral,0.763
"On CBC, polio, mumps and whooping cough are being discussed because #measles cases are so high in Alberta.  Measles are considered a warning.

Me: COVID was the warning.  Measles was just the next obvious airborne spreader because of misinformation and trends already at play since Andrew Wakefield.",2,"measles, covid",measles,neutral,0.823
"On CBC, polio, mumps and whooping cough are being discussed because #measles cases are so high in Alberta.  Measles are considered a warning.

Me: COVID was the warning.  Measles was just the next obvious airborne spreader because of misinformation and trends already at play since Andrew Wakefield.",2,"measles, covid",covid,neutral,0.871
"I am so sorry! So so very sorry! 

So RFK Junior—vaccines work: Covid, influenza, measles, mumps, rubella, chickenpox,smallpox, polio, pertussis, tetanus, rubella…",2,"measles, covid",measles,neutral,0.843
"I am so sorry! So so very sorry! 

So RFK Junior—vaccines work: Covid, influenza, measles, mumps, rubella, chickenpox,smallpox, polio, pertussis, tetanus, rubella…",2,"measles, covid",covid,neutral,0.867
"And those that don't choose to vaccinate their kids against diseases like measles, mumps, polio, TB & covid risk causing epidemics which kill.
Those that don't vaccinate against rubella risk the viability/health of future babies.
Irresponsible, pernicious, potential killers.",3,"measles, covid, risk",measles,neutral,0.668
"And those that don't choose to vaccinate their kids against diseases like measles, mumps, polio, TB & covid risk causing epidemics which kill.
Those that don't vaccinate against rubella risk the viability/health of future babies.
Irresponsible, pernicious, potential killers.",3,"measles, covid, risk",covid,neutral,0.748
"And those that don't choose to vaccinate their kids against diseases like measles, mumps, polio, TB & covid risk causing epidemics which kill.
Those that don't vaccinate against rubella risk the viability/health of future babies.
Irresponsible, pernicious, potential killers.",3,"measles, covid, risk",risk,negative,0.539
"I just checked my measles immunity (mumps and rubella too), and I'm GOOD. Well worth doing, I think! Now I need to figure out whether to get my usual fall covid vaccine early, if that's even worth doing since it won't be updated.",4,"immunity, vaccine, measles, covid",immunity,positive,0.821
"I just checked my measles immunity (mumps and rubella too), and I'm GOOD. Well worth doing, I think! Now I need to figure out whether to get my usual fall covid vaccine early, if that's even worth doing since it won't be updated.",4,"immunity, vaccine, measles, covid",vaccine,neutral,0.869
"I just checked my measles immunity (mumps and rubella too), and I'm GOOD. Well worth doing, I think! Now I need to figure out whether to get my usual fall covid vaccine early, if that's even worth doing since it won't be updated.",4,"immunity, vaccine, measles, covid",measles,neutral,0.865
"I just checked my measles immunity (mumps and rubella too), and I'm GOOD. Well worth doing, I think! Now I need to figure out whether to get my usual fall covid vaccine early, if that's even worth doing since it won't be updated.",4,"immunity, vaccine, measles, covid",covid,neutral,0.82
"Anti-vaxxers are pro-measles, pro-mumps, pro-covid, pro-polio, pro-rubella, pro-hepatitis, pro-HPV and thus pro-cancer, pro-diphtheria, pro-chicken pox, pro-RSV, pro-rabies, and anti-human",2,"measles, covid",measles,neutral,0.725
"Anti-vaxxers are pro-measles, pro-mumps, pro-covid, pro-polio, pro-rubella, pro-hepatitis, pro-HPV and thus pro-cancer, pro-diphtheria, pro-chicken pox, pro-RSV, pro-rabies, and anti-human",2,"measles, covid",covid,neutral,0.784
"Without insurance, some vaccines — including those for COVID-19, HPV and measles, mumps and rubella — could cost people hundreds of dollars out-of-pocket. 19thnews.org/2025/06/rfk-...",2,"measles, covid",measles,neutral,0.798
"Without insurance, some vaccines — including those for COVID-19, HPV and measles, mumps and rubella — could cost people hundreds of dollars out-of-pocket. 19thnews.org/2025/06/rfk-...",2,"measles, covid",covid,neutral,0.909
"RFK is stupid.  If it wasn’t for vaccines I’d be dead several times over starting with polio in the early 50s then the measles then the mumps, most recently the covid, if you don’t want don’t take them but don’t make a law we can’t have a vaccine to stay alive.",3,"vaccine, measles, covid",vaccine,neutral,0.869
"RFK is stupid.  If it wasn’t for vaccines I’d be dead several times over starting with polio in the early 50s then the measles then the mumps, most recently the covid, if you don’t want don’t take them but don’t make a law we can’t have a vaccine to stay alive.",3,"vaccine, measles, covid",measles,neutral,0.747
"RFK is stupid.  If it wasn’t for vaccines I’d be dead several times over starting with polio in the early 50s then the measles then the mumps, most recently the covid, if you don’t want don’t take them but don’t make a law we can’t have a vaccine to stay alive.",3,"vaccine, measles, covid",covid,neutral,0.795
"Not as emotional as when I got the first covid vaccine, but i’m so relieved! However, they won’t give me another measles shot in 28 days bc they say this was a “booster” shot since I’m immune to Mumps and rubella. I asked why the measles shot wore off, they just said “it happens”",3,"vaccine, measles, covid",vaccine,neutral,0.911
"Not as emotional as when I got the first covid vaccine, but i’m so relieved! However, they won’t give me another measles shot in 28 days bc they say this was a “booster” shot since I’m immune to Mumps and rubella. I asked why the measles shot wore off, they just said “it happens”",3,"vaccine, measles, covid",measles,neutral,0.685
"Not as emotional as when I got the first covid vaccine, but i’m so relieved! However, they won’t give me another measles shot in 28 days bc they say this was a “booster” shot since I’m immune to Mumps and rubella. I asked why the measles shot wore off, they just said “it happens”",3,"vaccine, measles, covid",covid,neutral,0.846
"Could someone please give this asshole COVID, measles or mumps ?",2,"measles, covid",measles,neutral,0.902
"Could someone please give this asshole COVID, measles or mumps ?",2,"measles, covid",covid,neutral,0.737
"With RFK jr in charge now get ready for : bird flu, covid, pertussis, diphtheria, tetanus , polio, measles, mumps, rubella,  influenza, rsv, hepatitis and more to become  epidemic in this country. All because of people who thought Trump was going to end inflation and get rid of all the brown people.",2,"measles, covid",measles,neutral,0.803
"With RFK jr in charge now get ready for : bird flu, covid, pertussis, diphtheria, tetanus , polio, measles, mumps, rubella,  influenza, rsv, hepatitis and more to become  epidemic in this country. All because of people who thought Trump was going to end inflation and get rid of all the brown people.",2,"measles, covid",covid,neutral,0.865
"Let's hope he doesn't get tetanus, Covid, the flu, shingles, measles, mumps, rubella....live by the lies, die by the lies. Oh well. I still remember the antivaxers sick w/Covid begging for the shots. Too late. He should be charged with murder.",2,"measles, covid",measles,neutral,0.769
"Let's hope he doesn't get tetanus, Covid, the flu, shingles, measles, mumps, rubella....live by the lies, die by the lies. Oh well. I still remember the antivaxers sick w/Covid begging for the shots. Too late. He should be charged with murder.",2,"measles, covid",covid,neutral,0.85
"I really hope it gets covid and measles and mumps and ruebella and the flu and

MELANOMA",2,"measles, covid",measles,neutral,0.563
"I really hope it gets covid and measles and mumps and ruebella and the flu and

MELANOMA",2,"measles, covid",covid,neutral,0.627
"so we've got measles and COVID back, we're probably gonna get back mumps and polio

childhood diseases are not Pokemon; under no circumstances do you ""gotta catch 'em all""",2,"measles, covid",measles,neutral,0.917
"so we've got measles and COVID back, we're probably gonna get back mumps and polio

childhood diseases are not Pokemon; under no circumstances do you ""gotta catch 'em all""",2,"measles, covid",covid,neutral,0.938
Hey do the US a favor and come down with gonad distroying mumps and maybe COVID and measles,2,"measles, covid",measles,negative,0.568
Hey do the US a favor and come down with gonad distroying mumps and maybe COVID and measles,2,"measles, covid",covid,neutral,0.584
"He’s gonna kill all of us who care for or provide treatment for all of the diseased persons he so badly wishes to decimate our nation’s population by massive sweeping culling-by-chicken pox, mumps, measles, whooping cough, COVID, MRSAs, VREs, fungal organism body/brain border pathogens…he is death☠️",3,"measles, covid, death",measles,neutral,0.717
"He’s gonna kill all of us who care for or provide treatment for all of the diseased persons he so badly wishes to decimate our nation’s population by massive sweeping culling-by-chicken pox, mumps, measles, whooping cough, COVID, MRSAs, VREs, fungal organism body/brain border pathogens…he is death☠️",3,"measles, covid, death",covid,neutral,0.753
"He’s gonna kill all of us who care for or provide treatment for all of the diseased persons he so badly wishes to decimate our nation’s population by massive sweeping culling-by-chicken pox, mumps, measles, whooping cough, COVID, MRSAs, VREs, fungal organism body/brain border pathogens…he is death☠️",3,"measles, covid, death",death,negative,0.489
"Travel advisory for Canadians:

Visiting American relatives could expose you to measles, tuberculosis, Covid-19, mumps, chicken pox, meningitis, and twenty-five or so other diseases.",2,"measles, covid",measles,neutral,0.689
"Travel advisory for Canadians:

Visiting American relatives could expose you to measles, tuberculosis, Covid-19, mumps, chicken pox, meningitis, and twenty-five or so other diseases.",2,"measles, covid",covid,neutral,0.769
"Why only cause use mechanical weapons against Americans when you can use biological ones too? 

The Administration will use bullets, tier gas, Covid, measles, mumps, rubella, tetanus, hepatitis, varicella zoster, influenza, and others. 

Welcome to Nazi America.

www.nytimes.com/2025/06/09/h...",2,"measles, covid",measles,neutral,0.805
"Why only cause use mechanical weapons against Americans when you can use biological ones too? 

The Administration will use bullets, tier gas, Covid, measles, mumps, rubella, tetanus, hepatitis, varicella zoster, influenza, and others. 

Welcome to Nazi America.

www.nytimes.com/2025/06/09/h...",2,"measles, covid",covid,neutral,0.851
Trump is letting weirdo RFKJr make it difficult if not impossible for your grandchildren to get vaccinated for measles & polio & chickenpox & hepatitis & mumps & flu & COVID.,2,"measles, covid",measles,neutral,0.852
Trump is letting weirdo RFKJr make it difficult if not impossible for your grandchildren to get vaccinated for measles & polio & chickenpox & hepatitis & mumps & flu & COVID.,2,"measles, covid",covid,neutral,0.849
"Travel advisory for Canadians: Visiting American relatives might expose you to measles, tuberculosis, covid-19, mumps, chicken pox,  tetanus, meningitis, and twenty-five or so other diseases.",2,"measles, covid",measles,neutral,0.661
