PHR,group,level,n,answer,pct,low,high
7,Employment Status,Not employed,519,YES,14.3,9.4,21.2
7,Health Insurance,Health insurance,"1,204",YES,10.1,7.7,13.2
7,Health Insurance,No health insurance,108,YES,39.6,28.1,52.3
7,Disability Status,Has disability,348,YES,24.9,17.9,33.5
7,Disability Status,No disability,924,YES,8.0,6.1,10.5
7,Sexual Orientation,"Gay, Lesbian, or Bisexual",99,YES,14.9,8.6,24.8
7,Sexual Orientation,Straight,992,YES,10.4,7.7,13.8
7,Total,Total,"1,365",NO,87.0,84.0,89.4
7,Sex,Male,685,NO,89.8,86.2,92.5
7,Sex,Female,680,NO,84.5,79.7,88.3
7,Race/Ethnicity,"White, Non-Hispanic",866,NO,90.9,88.0,93.1
7,Race/Ethnicity,"Black, Non-Hispanic",86,NO,92.1,83.6,96.4
7,Race/Ethnicity,Hispanic,274,NO,81.5,75.2,86.6
7,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",107,NO,77.5,59.8,88.9
7,Age,18 to 29,276,NO,84.0,78.6,88.2
7,Age,30 to 44,352,NO,81.8,73.6,87.8
7,Age,45 to 64,380,NO,89.7,85.0,93.0
7,Age,65,336,NO,94.2,88.1,97.3
7,Education,Less than high school,71,NO,74.3,60.1,84.7
7,Education,High school graduate,270,NO,84.6,76.1,90.4
7,Education,Some college,336,NO,88.4,83.6,91.9
7,Education,College graduate,682,NO,91.7,89.0,93.8
7,Income,"<$25,000",125,NO,64.6,49.2,77.4
7,Income,"$25,000 to <$50,000",226,NO,79.3,70.7,85.9
7,Income,"$50,000.00",764,NO,92.9,90.5,94.7
7,Marital Status,Married,675,NO,90.3,86.7,93.0
7,Marital Status,Not married,680,NO,83.5,78.5,87.6
7,Employment Status,Employed,824,NO,88.2,85.5,90.5
7,Employment Status,Not employed,519,NO,85.7,78.8,90.6
7,Health Insurance,Health insurance,"1,204",NO,89.9,86.8,92.3
7,Health Insurance,No health insurance,108,NO,60.4,47.7,71.9
7,Disability Status,Has disability,348,NO,75.1,66.5,82.1
7,Disability Status,No disability,924,NO,92.0,89.5,93.9
7,Sexual Orientation,"Gay, Lesbian, or Bisexual",99,NO,85.1,75.2,91.4
7,Sexual Orientation,Straight,992,NO,89.6,86.2,92.3
8,Total,Total,"1,440",YES,18.6,15.6,21.9
8,Sex,Male,702,YES,14.4,10.5,19.5
8,Sex,Female,738,YES,22.7,18.6,27.4
8,Race/Ethnicity,"White, Non-Hispanic",766,YES,13.4,9.9,17.8
8,Race/Ethnicity,"Black, Non-Hispanic",90,YES,,,
8,Race/Ethnicity,Hispanic,466,YES,22.6,18.0,28.1
8,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",86,YES,,,
8,Age,18 to 29,185,YES,19.3,12.9,27.8
8,Age,30 to 44,340,YES,25.8,19.5,33.3
8,Age,45 to 64,462,YES,21.1,15.9,27.4
8,Age,65,434,YES,3.4,1.9,5.9
8,Education,Less than high school,84,YES,25.0,15.4,37.8
8,Education,High school graduate,298,YES,22.1,16.1,29.6
8,Education,Some college,384,YES,22.1,16.8,28.5
8,Education,College graduate,670,YES,8.2,5.7,11.5
8,Income,"<$25,000",139,YES,37.5,27.3,48.9
8,Income,"$25,000 to <$50,000",269,YES,23.8,17.0,32.2
8,Income,"$50,000.00",776,YES,13.5,9.7,18.4
8,Marital Status,Married,777,YES,16.2,12.3,21.2
8,Marital Status,Not married,651,YES,21.2,17.1,26.1
8,Employment Status,Employed,734,YES,19.8,15.9,24.4
8,Employment Status,Not employed,670,YES,16.6,12.4,22.0
8,Health Insurance,Health insurance,"1,263",YES,13.9,11.0,17.4
8,Health Insurance,No health insurance,126,YES,50.6,39.4,61.8
8,Disability Status,Has disability,431,YES,29.5,22.9,37.2
8,Disability Status,No disability,934,YES,13.5,10.5,17.3
8,Sexual Orientation,"Gay, Lesbian, or Bisexual",91,YES,18.9,10.1,32.4
8,Sexual Orientation,Straight,"1,142",YES,17.7,14.4,21.6
8,Total,Total,"1,440",NO,81.4,78.1,84.4
8,Sex,Male,702,NO,85.6,80.5,89.5
8,Sex,Female,738,NO,77.3,72.6,81.4
8,Race/Ethnicity,"White, Non-Hispanic",766,NO,86.6,82.2,90.1
8,Race/Ethnicity,"Black, Non-Hispanic",90,NO,91.1,82.8,95.6
8,Race/Ethnicity,Hispanic,466,NO,77.4,71.9,82.0
8,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",86,NO,81.2,63.8,91.3
8,Age,18 to 29,185,NO,80.7,72.2,87.1
8,Age,30 to 44,340,NO,74.2,66.7,80.5
8,Age,45 to 64,462,NO,78.9,72.6,84.1
8,Age,65,434,NO,96.6,94.1,98.1
8,Education,Less than high school,84,NO,75.0,62.2,84.6
8,Education,High school graduate,298,NO,77.9,70.4,83.9
8,Education,Some college,384,NO,77.9,71.5,83.2
8,Education,College graduate,670,NO,91.8,88.5,94.3
8,Income,"<$25,000",139,NO,62.5,51.1,72.7
8,Income,"$25,000 to <$50,000",269,NO,76.2,67.8,83.0
8,Income,"$50,000.00",776,NO,86.5,81.6,90.3
8,Marital Status,Married,777,NO,83.8,78.8,87.7
8,Marital Status,Not married,651,NO,78.8,73.9,82.9
8,Employment Status,Employed,734,NO,80.2,75.6,84.1
8,Employment Status,Not employed,670,NO,83.4,78.0,87.6
8,Health Insurance,Health insurance,"1,263",NO,86.1,82.6,89.0
8,Health Insurance,No health insurance,126,NO,49.4,38.2,60.6
8,Disability Status,Has disability,431,NO,70.5,62.8,77.1
8,Disability Status,No disability,934,NO,86.5,82.7,89.5
8,Sexual Orientation,"Gay, Lesbian, or Bisexual",91,NO,81.1,67.6,89.9
8,Sexual Orientation,Straight,"1,142",NO,82.3,78.4,85.6
9,Total,Total,496,YES,16.8,11.8,23.4
9,Sex,Male,279,YES,8.5,5.0,13.9
9,Sex,Female,217,YES,27.7,18.1,40.0
9,Race/Ethnicity,"White, Non-Hispanic",266,YES,,,
9,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
9,Race/Ethnicity,Hispanic,174,YES,21.8,13.8,32.7
9,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
9,Age,18 to 29,77,YES,,,
9,Age,30 to 44,152,YES,23.7,14.0,37.3
9,Age,45 to 64,155,YES,,,
9,Age,65,109,YES,,,
9,Education,Less than high school,N,YES,,,
9,Education,High school graduate,153,YES,14.8,8.2,25.2
9,Education,Some college,151,YES,19.0,10.2,32.6
9,Education,College graduate,142,YES,,,
9,Income,"<$25,000",53,YES,40.9,21.4,63.7
9,Income,"$25,000 to <$50,000",79,YES,,,
9,Income,"$50,000.00",255,YES,12.5,6.9,21.6
9,Marital Status,Married,255,YES,12.7,7.1,21.8
9,Marital Status,Not married,240,YES,22.0,14.0,32.9
9,Employment Status,Employed,304,YES,12.1,8.1,17.8
9,Employment Status,Not employed,176,YES,24.8,14.0,39.9
9,Health Insurance,Health insurance,399,YES,10.0,6.0,16.2
9,Health Insurance,No health insurance,73,YES,60.2,42.5,75.7
9,Disability Status,Has disability,151,YES,32.4,19.3,49.1
9,Disability Status,No disability,306,YES,9.5,5.7,15.4
9,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
9,Sexual Orientation,Straight,419,YES,17.5,12.1,24.7
9,Total,Total,496,NO,83.2,76.6,88.2
9,Sex,Male,279,NO,91.5,86.1,95.0
9,Sex,Female,217,NO,72.3,60.0,81.9
9,Race/Ethnicity,"White, Non-Hispanic",266,NO,86.6,76.1,93.0
9,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
9,Race/Ethnicity,Hispanic,174,NO,78.2,67.3,86.2
9,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
9,Age,18 to 29,77,NO,83.5,67.6,92.4
9,Age,30 to 44,152,NO,76.3,62.7,86.0
9,Age,45 to 64,155,NO,84.4,73.0,91.6
9,Age,65,109,NO,97.2,92.6,99.0
9,Education,Less than high school,N,NO,,,
9,Education,High school graduate,153,NO,85.2,74.8,91.8
9,Education,Some college,151,NO,81.0,67.4,89.8
9,Education,College graduate,142,NO,88.9,74.7,95.6
9,Income,"<$25,000",53,NO,59.1,36.3,78.6
9,Income,"$25,000 to <$50,000",79,NO,79.0,59.3,90.6
9,Income,"$50,000.00",255,NO,87.5,78.4,93.1
9,Marital Status,Married,255,NO,87.3,78.2,92.9
9,Marital Status,Not married,240,NO,78.0,67.1,86.0
9,Employment Status,Employed,304,NO,87.9,82.2,91.9
9,Employment Status,Not employed,176,NO,75.2,60.1,86.0
9,Health Insurance,Health insurance,399,NO,90.0,83.8,94.0
9,Health Insurance,No health insurance,73,NO,39.8,24.3,57.5
9,Disability Status,Has disability,151,NO,67.6,50.9,80.7
9,Disability Status,No disability,306,NO,90.5,84.6,94.3
9,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
9,Sexual Orientation,Straight,419,NO,82.5,75.3,87.9
