Public_health_unit,Antigen,Age,Year,Coverage
Hastings Prince Edward Public Health,MCV4,12,2014-2015,74.2
Hastings Prince Edward Public Health,MCV4,12,2015-2016,78.6
Hastings Prince Edward Public Health,MCV4,12,2016-2017,82.1
Hastings Prince Edward Public Health,MCV4,12,2017-2018,90.8
Hastings Prince Edward Public Health,MCV4,12,2018-2019,92.4
Hastings Prince Edward Public Health,MCV4,17,2018-2019,97.1
Hastings Prince Edward Public Health,MCV4,12,2019-2020,95
Hastings Prince Edward Public Health,MCV4,17,2019-2020,95.9
Hastings Prince Edward Public Health,MCV4,12,2020-2021,91.6
Hastings Prince Edward Public Health,MCV4,17,2020-2021,96.5
Hastings Prince Edward Public Health,MCV4,12,2021-2022,92.2
Hastings Prince Edward Public Health,MCV4,17,2021-2022,94.4
Hastings Prince Edward Public Health,MCV4,12,2022-2023,92.6
Hastings Prince Edward Public Health,MCV4,17,2022-2023,95.3
Hastings Prince Edward Public Health,Measles,7,2013-2014,97.2
Hastings Prince Edward Public Health,Measles,7,2014-2015,93.9
Hastings Prince Edward Public Health,Measles,7,2015-2016,96
Hastings Prince Edward Public Health,Measles,7,2016-2017,96.1
Hastings Prince Edward Public Health,Measles,7,2017-2018,94.4
Hastings Prince Edward Public Health,Measles,7,2018-2019,95.4
Hastings Prince Edward Public Health,Measles,17,2013-2014,97.5
Hastings Prince Edward Public Health,Measles,17,2014-2015,97.2
Hastings Prince Edward Public Health,Measles,17,2015-2016,97.8
Hastings Prince Edward Public Health,Measles,17,2016-2017,98.2
Hastings Prince Edward Public Health,Measles,17,2017-2018,97.7
Hastings Prince Edward Public Health,Measles,17,2018-2019,98.3
Hastings Prince Edward Public Health,Measles,7,2019-2020,91.1
Hastings Prince Edward Public Health,Measles,17,2019-2020,97.6
Hastings Prince Edward Public Health,Measles,7,2020-2021,79.7
Hastings Prince Edward Public Health,Measles,17,2020-2021,97.4
Hastings Prince Edward Public Health,Measles,7,2021-2022,80.6
Hastings Prince Edward Public Health,Measles,17,2021-2022,96.4
Hastings Prince Edward Public Health,Measles,7,2022-2023,90
Hastings Prince Edward Public Health,Measles,17,2022-2023,96.1
Hastings Prince Edward Public Health,Mumps,7,2013-2014,97.1
Hastings Prince Edward Public Health,Mumps,7,2014-2015,93.8
Hastings Prince Edward Public Health,Mumps,7,2015-2016,96
Hastings Prince Edward Public Health,Mumps,7,2016-2017,96.1
Hastings Prince Edward Public Health,Mumps,7,2017-2018,94.4
Hastings Prince Edward Public Health,Mumps,7,2018-2019,95.4
Hastings Prince Edward Public Health,Mumps,17,2013-2014,96.5
Hastings Prince Edward Public Health,Mumps,17,2014-2015,96.5
Hastings Prince Edward Public Health,Mumps,17,2015-2016,97.1
Hastings Prince Edward Public Health,Mumps,17,2016-2017,98.1
Hastings Prince Edward Public Health,Mumps,17,2017-2018,97.4
Hastings Prince Edward Public Health,Mumps,17,2018-2019,98.2
Hastings Prince Edward Public Health,Mumps,7,2019-2020,91.1
Hastings Prince Edward Public Health,Mumps,17,2019-2020,97.4
Hastings Prince Edward Public Health,Mumps,7,2020-2021,79.7
Hastings Prince Edward Public Health,Mumps,17,2020-2021,97.3
Hastings Prince Edward Public Health,Mumps,7,2021-2022,80.6
Hastings Prince Edward Public Health,Mumps,17,2021-2022,95.8
Hastings Prince Edward Public Health,Mumps,7,2022-2023,90
Hastings Prince Edward Public Health,Mumps,17,2022-2023,95.9
Hastings Prince Edward Public Health,Pertussis,7,2013-2014,93.3
Hastings Prince Edward Public Health,Pertussis,7,2014-2015,80.8
Hastings Prince Edward Public Health,Pertussis,7,2015-2016,93.7
Hastings Prince Edward Public Health,Pertussis,7,2016-2017,93.8
Hastings Prince Edward Public Health,Pertussis,7,2017-2018,93.5
Hastings Prince Edward Public Health,Pertussis,7,2018-2019,95.4
Hastings Prince Edward Public Health,Pertussis,17,2013-2014,80.6
Hastings Prince Edward Public Health,Pertussis,17,2014-2015,76.9
Hastings Prince Edward Public Health,Pertussis,17,2015-2016,82
Hastings Prince Edward Public Health,Pertussis,17,2016-2017,79.6
Hastings Prince Edward Public Health,Pertussis,17,2017-2018,82.6
Hastings Prince Edward Public Health,Pertussis,17,2018-2019,90.3
Hastings Prince Edward Public Health,Pertussis,7,2019-2020,90.9
Hastings Prince Edward Public Health,Pertussis,17,2019-2020,87.8
Hastings Prince Edward Public Health,Pertussis,7,2020-2021,79.3
Hastings Prince Edward Public Health,Pertussis,17,2020-2021,83.2
Hastings Prince Edward Public Health,Pertussis,7,2021-2022,80.2
Hastings Prince Edward Public Health,Pertussis,17,2021-2022,61.2
Hastings Prince Edward Public Health,Pertussis,7,2022-2023,90.1
Hastings Prince Edward Public Health,Pertussis,17,2022-2023,70.1
Hastings Prince Edward Public Health,Pneumo,7,2013-2014,78.8
Hastings Prince Edward Public Health,Pneumo,7,2014-2015,82.4
Hastings Prince Edward Public Health,Pneumo,7,2015-2016,82.2
Hastings Prince Edward Public Health,Pneumo,7,2016-2017,82.2
Hastings Prince Edward Public Health,Pneumo,7,2017-2018,75.8
Hastings Prince Edward Public Health,Pneumo,7,2018-2019,86.1
Hastings Prince Edward Public Health,Pneumo,7,2019-2020,90.7
Hastings Prince Edward Public Health,Pneumo,7,2020-2021,92.5
Hastings Prince Edward Public Health,Pneumo,7,2021-2022,92
Hastings Prince Edward Public Health,Pneumo,7,2022-2023,93.1
Hastings Prince Edward Public Health,Polio,7,2013-2014,94.1
Hastings Prince Edward Public Health,Polio,7,2014-2015,81.2
Hastings Prince Edward Public Health,Polio,7,2015-2016,93.7
Hastings Prince Edward Public Health,Polio,7,2016-2017,94.1
Hastings Prince Edward Public Health,Polio,7,2017-2018,94.2
Hastings Prince Edward Public Health,Polio,7,2018-2019,95.5
Hastings Prince Edward Public Health,Polio,17,2013-2014,96.7
Hastings Prince Edward Public Health,Polio,17,2014-2015,96.4
Hastings Prince Edward Public Health,Polio,17,2015-2016,96.9
Hastings Prince Edward Public Health,Polio,17,2016-2017,97.1
Hastings Prince Edward Public Health,Polio,17,2017-2018,96.9
Hastings Prince Edward Public Health,Polio,17,2018-2019,97
Hastings Prince Edward Public Health,Polio,7,2019-2020,91.4
Hastings Prince Edward Public Health,Polio,17,2019-2020,96
Hastings Prince Edward Public Health,Polio,7,2020-2021,79.4
Hastings Prince Edward Public Health,Polio,17,2020-2021,96.5
Hastings Prince Edward Public Health,Polio,7,2021-2022,80
Hastings Prince Edward Public Health,Polio,17,2021-2022,94.4
Hastings Prince Edward Public Health,Polio,7,2022-2023,90.2
Hastings Prince Edward Public Health,Polio,17,2022-2023,94.8
Hastings Prince Edward Public Health,Rota,7,2019-2020,65.8
Hastings Prince Edward Public Health,Rota,7,2020-2021,73.4
Hastings Prince Edward Public Health,Rota,7,2021-2022,79.2
Hastings Prince Edward Public Health,Rota,7,2022-2023,80.2
Hastings Prince Edward Public Health,Rubella,7,2013-2014,98.4
Hastings Prince Edward Public Health,Rubella,7,2014-2015,97.1
Hastings Prince Edward Public Health,Rubella,7,2015-2016,97.7
Hastings Prince Edward Public Health,Rubella,7,2016-2017,97.3
Hastings Prince Edward Public Health,Rubella,7,2017-2018,97.7
Hastings Prince Edward Public Health,Rubella,7,2018-2019,98.1
Hastings Prince Edward Public Health,Rubella,17,2013-2014,98.7
Hastings Prince Edward Public Health,Rubella,17,2014-2015,98.2
Hastings Prince Edward Public Health,Rubella,17,2015-2016,98.7
Hastings Prince Edward Public Health,Rubella,17,2016-2017,98.8
Hastings Prince Edward Public Health,Rubella,17,2017-2018,98.5
Hastings Prince Edward Public Health,Rubella,17,2018-2019,98.8
Hastings Prince Edward Public Health,Rubella,7,2019-2020,97.8
Hastings Prince Edward Public Health,Rubella,17,2019-2020,98.2
Hastings Prince Edward Public Health,Rubella,7,2020-2021,97.1
Hastings Prince Edward Public Health,Rubella,17,2020-2021,98.6
Hastings Prince Edward Public Health,Rubella,7,2021-2022,97.9
Hastings Prince Edward Public Health,Rubella,17,2021-2022,97.1
Hastings Prince Edward Public Health,Rubella,7,2022-2023,97.1
Hastings Prince Edward Public Health,Rubella,17,2022-2023,96.9
Hastings Prince Edward Public Health,Tetanus,7,2013-2014,93.9
Hastings Prince Edward Public Health,Tetanus,7,2014-2015,81.1
Hastings Prince Edward Public Health,Tetanus,7,2015-2016,93.7
Hastings Prince Edward Public Health,Tetanus,7,2016-2017,93.9
Hastings Prince Edward Public Health,Tetanus,7,2017-2018,93.5
Hastings Prince Edward Public Health,Tetanus,7,2018-2019,95.4
Hastings Prince Edward Public Health,Tetanus,17,2013-2014,85.9
Hastings Prince Edward Public Health,Tetanus,17,2014-2015,81.5
Hastings Prince Edward Public Health,Tetanus,17,2015-2016,86.2
Hastings Prince Edward Public Health,Tetanus,17,2016-2017,82.4
Hastings Prince Edward Public Health,Tetanus,17,2017-2018,85.3
Hastings Prince Edward Public Health,Tetanus,17,2018-2019,90.1
Hastings Prince Edward Public Health,Tetanus,7,2019-2020,90.9
Hastings Prince Edward Public Health,Tetanus,17,2019-2020,87.8
Hastings Prince Edward Public Health,Tetanus,7,2020-2021,79.4
Hastings Prince Edward Public Health,Tetanus,17,2020-2021,83.2
Hastings Prince Edward Public Health,Tetanus,7,2021-2022,80.2
Hastings Prince Edward Public Health,Tetanus,17,2021-2022,61.1
Hastings Prince Edward Public Health,Tetanus,7,2022-2023,90.2
Hastings Prince Edward Public Health,Tetanus,17,2022-2023,69.1
Hastings Prince Edward Public Health,Varicella,7,2013-2014,24
Hastings Prince Edward Public Health,Varicella,7,2014-2015,30.5
Hastings Prince Edward Public Health,Varicella,7,2015-2016,45.1
Hastings Prince Edward Public Health,Varicella,7,2016-2017,56.7
Hastings Prince Edward Public Health,Varicella,7,2017-2018,89.4
Hastings Prince Edward Public Health,Varicella,7,2018-2019,93.1
Hastings Prince Edward Public Health,Varicella,7,2019-2020,89
Hastings Prince Edward Public Health,Varicella,7,2020-2021,77.6
Hastings Prince Edward Public Health,Varicella,7,2021-2022,78.9
Hastings Prince Edward Public Health,Varicella,7,2022-2023,88.6
Chatham-Kent Public Health,HPV,12,2023-2024,57.8
Chatham-Kent Public Health,HepB,12,2023-2024,65.8
Chatham-Kent Public Health,HPV,17,2023-2024,67
Chatham-Kent Public Health,Diphtheria,17,2023-2024,78.5
Chatham-Kent Public Health,MCV4,12,2023-2024,79.6
Chatham-Kent Public Health,Pertussis,17,2023-2024,78.5
Chatham-Kent Public Health,Tetanus,17,2023-2024,78.5
Chatham-Kent Public Health,Hib,7,2023-2024,83
Chatham-Kent Public Health,Pneumo,7,2023-2024,83.8
Chatham-Kent Public Health,Rota,7,2023-2024,81.5
Chatham-Kent Public Health,HepB,17,2023-2024,80.5
Chatham-Kent Public Health,Diphtheria,7,2023-2024,87.7
Chatham-Kent Public Health,MCC,7,2023-2024,91.4
Chatham-Kent Public Health,Measles,7,2023-2024,88
Chatham-Kent Public Health,Mumps,7,2023-2024,88
Chatham-Kent Public Health,Pertussis,7,2023-2024,87.6
Chatham-Kent Public Health,Polio,7,2023-2024,88.3
Chatham-Kent Public Health,Rubella,7,2023-2024,92.2
Chatham-Kent Public Health,Tetanus,7,2023-2024,87.7
Chatham-Kent Public Health,Varicella,7,2023-2024,88.7
Chatham-Kent Public Health,MCV4,17,2023-2024,95.2
Chatham-Kent Public Health,Measles,17,2023-2024,96.2
Chatham-Kent Public Health,Mumps,17,2023-2024,96.1
Chatham-Kent Public Health,Polio,17,2023-2024,96.3
Chatham-Kent Public Health,Rubella,17,2023-2024,97.7
Chatham-Kent Public Health,Diphtheria,7,2013-2014,90
Chatham-Kent Public Health,Diphtheria,7,2014-2015,95.5
Chatham-Kent Public Health,Diphtheria,7,2015-2016,94.8
Chatham-Kent Public Health,Diphtheria,7,2016-2017,95
Chatham-Kent Public Health,Diphtheria,7,2017-2018,93.9
Chatham-Kent Public Health,Diphtheria,7,2018-2019,94.5
Chatham-Kent Public Health,Diphtheria,17,2013-2014,88.1
Chatham-Kent Public Health,Diphtheria,17,2014-2015,85.3
Chatham-Kent Public Health,Diphtheria,17,2015-2016,87.5
Chatham-Kent Public Health,Diphtheria,17,2016-2017,80.5
Chatham-Kent Public Health,Diphtheria,17,2017-2018,83.7
Chatham-Kent Public Health,Diphtheria,17,2018-2019,86.4
Chatham-Kent Public Health,Diphtheria,7,2019-2020,93.9
Chatham-Kent Public Health,Diphtheria,17,2019-2020,80.5
Chatham-Kent Public Health,Diphtheria,7,2020-2021,76.5
Chatham-Kent Public Health,Diphtheria,17,2020-2021,75.9
Chatham-Kent Public Health,Diphtheria,7,2021-2022,75.2
Chatham-Kent Public Health,Diphtheria,17,2021-2022,55.5
Chatham-Kent Public Health,Diphtheria,7,2022-2023,90.1
Chatham-Kent Public Health,Diphtheria,17,2022-2023,52.4
Chatham-Kent Public Health,HepB,12,2013-2014,74
Chatham-Kent Public Health,HepB,12,2014-2015,71.7
Chatham-Kent Public Health,HepB,12,2015-2016,73.3
Chatham-Kent Public Health,HepB,12,2016-2017,73.1
Chatham-Kent Public Health,HepB,12,2017-2018,77.9
Chatham-Kent Public Health,HepB,12,2018-2019,71
Chatham-Kent Public Health,HepB,17,2018-2019,79.9
Chatham-Kent Public Health,HepB,12,2019-2020,63.6
Chatham-Kent Public Health,HepB,17,2019-2020,81
Chatham-Kent Public Health,HepB,12,2020-2021,47.2
Chatham-Kent Public Health,HepB,17,2020-2021,78.8
Chatham-Kent Public Health,HepB,12,2021-2022,71.2
Chatham-Kent Public Health,HepB,17,2021-2022,75.8
Chatham-Kent Public Health,HepB,12,2022-2023,71.9
Chatham-Kent Public Health,HepB,17,2022-2023,81.9
Chatham-Kent Public Health,Hib,7,2013-2014,88.1
Chatham-Kent Public Health,Hib,7,2014-2015,91.1
Chatham-Kent Public Health,Hib,7,2015-2016,88.4
Chatham-Kent Public Health,Hib,7,2016-2017,88.6
Chatham-Kent Public Health,Hib,7,2017-2018,89.7
Chatham-Kent Public Health,Hib,7,2018-2019,93.6
Chatham-Kent Public Health,Hib,7,2019-2020,91.4
Chatham-Kent Public Health,Hib,7,2020-2021,90.4
Chatham-Kent Public Health,Hib,7,2021-2022,89.2
Chatham-Kent Public Health,Hib,7,2022-2023,90.2
Chatham-Kent Public Health,HPV,12,2013-2014,58.3
Chatham-Kent Public Health,HPV,12,2014-2015,56
Chatham-Kent Public Health,HPV,12,2015-2016,59.2
Chatham-Kent Public Health,HPV,12,2016-2017,59.7
Chatham-Kent Public Health,HPV,12,2017-2018,60.1
Chatham-Kent Public Health,HPV,12,2018-2019,56.6
Chatham-Kent Public Health,HPV,17,2018-2019,58.2
Chatham-Kent Public Health,HPV,12,2019-2020,57.4
Chatham-Kent Public Health,HPV,17,2019-2020,60.6
Chatham-Kent Public Health,HPV,12,2020-2021,41.3
Chatham-Kent Public Health,HPV,17,2020-2021,63.7
Chatham-Kent Public Health,HPV,12,2021-2022,62.5
Chatham-Kent Public Health,HPV,17,2021-2022,63.8
Chatham-Kent Public Health,HPV,12,2022-2023,63.4
Chatham-Kent Public Health,HPV,17,2022-2023,65.6
Chatham-Kent Public Health,MCC,7,2013-2014,88.2
Chatham-Kent Public Health,MCC,7,2014-2015,96.1
Chatham-Kent Public Health,MCC,7,2015-2016,95.8
Chatham-Kent Public Health,MCC,7,2016-2017,95.1
Chatham-Kent Public Health,MCC,7,2017-2018,95.4
Chatham-Kent Public Health,MCC,7,2018-2019,96.6
Chatham-Kent Public Health,MCC,7,2019-2020,95.3
Chatham-Kent Public Health,MCC,7,2020-2021,94
Chatham-Kent Public Health,MCC,7,2021-2022,92.6
Chatham-Kent Public Health,MCC,7,2022-2023,93.8
Chatham-Kent Public Health,MCV4,12,2013-2014,78.6
Chatham-Kent Public Health,MCV4,12,2014-2015,83.9
Chatham-Kent Public Health,MCV4,12,2015-2016,82.6
Chatham-Kent Public Health,MCV4,12,2016-2017,81.9
Chatham-Kent Public Health,MCV4,12,2017-2018,86.3
Chatham-Kent Public Health,MCV4,12,2018-2019,81.9
Chatham-Kent Public Health,MCV4,17,2018-2019,95.5
Chatham-Kent Public Health,MCV4,12,2019-2020,91.8
Chatham-Kent Public Health,MCV4,17,2019-2020,94.8
Chatham-Kent Public Health,MCV4,12,2020-2021,87.1
Chatham-Kent Public Health,MCV4,17,2020-2021,93.9
Chatham-Kent Public Health,MCV4,12,2021-2022,90.2
Chatham-Kent Public Health,MCV4,17,2021-2022,93.5
Chatham-Kent Public Health,MCV4,12,2022-2023,87.9
Chatham-Kent Public Health,MCV4,17,2022-2023,93.4
Chatham-Kent Public Health,Measles,7,2013-2014,94.4
Chatham-Kent Public Health,Measles,7,2014-2015,95.8
Chatham-Kent Public Health,Measles,7,2015-2016,95.8
Chatham-Kent Public Health,Measles,7,2016-2017,94.7
Chatham-Kent Public Health,Measles,7,2017-2018,93.6
Chatham-Kent Public Health,Measles,7,2018-2019,94
Chatham-Kent Public Health,Measles,17,2013-2014,97.7
Chatham-Kent Public Health,Measles,17,2014-2015,97.1
Chatham-Kent Public Health,Measles,17,2015-2016,97.5
Chatham-Kent Public Health,Measles,17,2016-2017,97
Chatham-Kent Public Health,Measles,17,2017-2018,98
Chatham-Kent Public Health,Measles,17,2018-2019,96.7
Chatham-Kent Public Health,Measles,7,2019-2020,93.6
Chatham-Kent Public Health,Measles,17,2019-2020,97.5
Chatham-Kent Public Health,Measles,7,2020-2021,76.5
Chatham-Kent Public Health,Measles,17,2020-2021,96.8
Chatham-Kent Public Health,Measles,7,2021-2022,74.8
Chatham-Kent Public Health,Measles,17,2021-2022,95.3
Chatham-Kent Public Health,Measles,7,2022-2023,90
Chatham-Kent Public Health,Measles,17,2022-2023,95.5
Chatham-Kent Public Health,Mumps,7,2013-2014,94.4
Chatham-Kent Public Health,Mumps,7,2014-2015,95.8
Chatham-Kent Public Health,Mumps,7,2015-2016,95.7
Chatham-Kent Public Health,Mumps,7,2016-2017,94.5
Chatham-Kent Public Health,Mumps,7,2017-2018,93.6
Chatham-Kent Public Health,Mumps,7,2018-2019,94
Chatham-Kent Public Health,Mumps,17,2013-2014,97.5
Chatham-Kent Public Health,Mumps,17,2014-2015,96.8
Chatham-Kent Public Health,Mumps,17,2015-2016,97.5
Chatham-Kent Public Health,Mumps,17,2016-2017,96.7
Chatham-Kent Public Health,Mumps,17,2017-2018,97.8
Chatham-Kent Public Health,Mumps,17,2018-2019,96.8
Chatham-Kent Public Health,Mumps,7,2019-2020,93.6
Chatham-Kent Public Health,Mumps,17,2019-2020,97.2
Chatham-Kent Public Health,Mumps,7,2020-2021,76.5
Chatham-Kent Public Health,Mumps,17,2020-2021,96.7
Chatham-Kent Public Health,Mumps,7,2021-2022,74.7
Chatham-Kent Public Health,Mumps,17,2021-2022,95.3
Chatham-Kent Public Health,Mumps,7,2022-2023,90
Chatham-Kent Public Health,Mumps,17,2022-2023,95.4
Chatham-Kent Public Health,Pertussis,7,2013-2014,90
Chatham-Kent Public Health,Pertussis,7,2014-2015,95.5
Chatham-Kent Public Health,Pertussis,7,2015-2016,94.8
Chatham-Kent Public Health,Pertussis,7,2016-2017,94.9
Chatham-Kent Public Health,Pertussis,7,2017-2018,93.8
Chatham-Kent Public Health,Pertussis,7,2018-2019,94.5
Chatham-Kent Public Health,Pertussis,17,2013-2014,83.8
Chatham-Kent Public Health,Pertussis,17,2014-2015,83.5
Chatham-Kent Public Health,Pertussis,17,2015-2016,85.5
Chatham-Kent Public Health,Pertussis,17,2016-2017,74.4
Chatham-Kent Public Health,Pertussis,17,2017-2018,78.7
Chatham-Kent Public Health,Pertussis,17,2018-2019,87.4
Chatham-Kent Public Health,Pertussis,7,2019-2020,93.9
Chatham-Kent Public Health,Pertussis,17,2019-2020,81.8
Chatham-Kent Public Health,Pertussis,7,2020-2021,76.5
Chatham-Kent Public Health,Pertussis,17,2020-2021,76
Chatham-Kent Public Health,Pertussis,7,2021-2022,75.2
Chatham-Kent Public Health,Pertussis,17,2021-2022,55.3
Chatham-Kent Public Health,Pertussis,7,2022-2023,90.1
Chatham-Kent Public Health,Pertussis,17,2022-2023,52.1
Chatham-Kent Public Health,Pneumo,7,2013-2014,79.1
Chatham-Kent Public Health,Pneumo,7,2014-2015,80.6
Chatham-Kent Public Health,Pneumo,7,2015-2016,82.1
Chatham-Kent Public Health,Pneumo,7,2016-2017,83.2
Chatham-Kent Public Health,Pneumo,7,2017-2018,77.1
Chatham-Kent Public Health,Pneumo,7,2018-2019,86.4
Chatham-Kent Public Health,Pneumo,7,2019-2020,85.4
Chatham-Kent Public Health,Pneumo,7,2020-2021,86.2
Chatham-Kent Public Health,Pneumo,7,2021-2022,86.1
Chatham-Kent Public Health,Pneumo,7,2022-2023,86.6
Chatham-Kent Public Health,Polio,7,2013-2014,90.7
Chatham-Kent Public Health,Polio,7,2014-2015,95.8
Chatham-Kent Public Health,Polio,7,2015-2016,95.2
Chatham-Kent Public Health,Polio,7,2016-2017,95.1
Chatham-Kent Public Health,Polio,7,2017-2018,94.7
Chatham-Kent Public Health,Polio,7,2018-2019,94.9
Chatham-Kent Public Health,Polio,17,2013-2014,97
Chatham-Kent Public Health,Polio,17,2014-2015,96.1
Chatham-Kent Public Health,Polio,17,2015-2016,96.4
Chatham-Kent Public Health,Polio,17,2016-2017,96.1
Chatham-Kent Public Health,Polio,17,2017-2018,96.9
Chatham-Kent Public Health,Polio,17,2018-2019,96.8
Chatham-Kent Public Health,Polio,7,2019-2020,94.2
Chatham-Kent Public Health,Polio,17,2019-2020,97.1
Chatham-Kent Public Health,Polio,7,2020-2021,77.3
Chatham-Kent Public Health,Polio,17,2020-2021,95.9
Chatham-Kent Public Health,Polio,7,2021-2022,76.4
Chatham-Kent Public Health,Polio,17,2021-2022,95.4
Chatham-Kent Public Health,Polio,7,2022-2023,90.4
Chatham-Kent Public Health,Polio,17,2022-2023,95.1
Chatham-Kent Public Health,Rota,7,2019-2020,75.2
Chatham-Kent Public Health,Rota,7,2020-2021,79.1
Chatham-Kent Public Health,Rota,7,2021-2022,78.5
Chatham-Kent Public Health,Rota,7,2022-2023,82.4
Chatham-Kent Public Health,Rubella,7,2013-2014,97.9
Chatham-Kent Public Health,Rubella,7,2014-2015,98.3
Chatham-Kent Public Health,Rubella,7,2015-2016,97.7
Chatham-Kent Public Health,Rubella,7,2016-2017,97
Chatham-Kent Public Health,Rubella,7,2017-2018,96.5
Chatham-Kent Public Health,Rubella,7,2018-2019,97.4
Chatham-Kent Public Health,Rubella,17,2013-2014,99.2
Chatham-Kent Public Health,Rubella,17,2014-2015,98.7
Chatham-Kent Public Health,Rubella,17,2015-2016,98.6
Chatham-Kent Public Health,Rubella,17,2016-2017,98.2
Chatham-Kent Public Health,Rubella,17,2017-2018,99.3
Chatham-Kent Public Health,Rubella,17,2018-2019,98.2
Chatham-Kent Public Health,Rubella,7,2019-2020,97.1
Chatham-Kent Public Health,Rubella,17,2019-2020,98.9
Chatham-Kent Public Health,Rubella,7,2020-2021,95.4
Chatham-Kent Public Health,Rubella,17,2020-2021,97.8
Chatham-Kent Public Health,Rubella,7,2021-2022,93.2
Chatham-Kent Public Health,Rubella,17,2021-2022,97.4
Chatham-Kent Public Health,Rubella,7,2022-2023,94.9
Chatham-Kent Public Health,Rubella,17,2022-2023,97.8
Chatham-Kent Public Health,Tetanus,7,2013-2014,90
Chatham-Kent Public Health,Tetanus,7,2014-2015,95.5
Chatham-Kent Public Health,Tetanus,7,2015-2016,94.8
Chatham-Kent Public Health,Tetanus,7,2016-2017,95
Chatham-Kent Public Health,Tetanus,7,2017-2018,93.9
Chatham-Kent Public Health,Tetanus,7,2018-2019,94.5
Chatham-Kent Public Health,Tetanus,17,2013-2014,88.1
Chatham-Kent Public Health,Tetanus,17,2014-2015,85.3
Chatham-Kent Public Health,Tetanus,17,2015-2016,87.5
Chatham-Kent Public Health,Tetanus,17,2016-2017,80.4
Chatham-Kent Public Health,Tetanus,17,2017-2018,83.7
Chatham-Kent Public Health,Tetanus,17,2018-2019,86.4
Chatham-Kent Public Health,Tetanus,7,2019-2020,93.9
Chatham-Kent Public Health,Tetanus,17,2019-2020,80.5
Chatham-Kent Public Health,Tetanus,7,2020-2021,76.5
Chatham-Kent Public Health,Tetanus,17,2020-2021,75.9
Chatham-Kent Public Health,Tetanus,7,2021-2022,75.2
Chatham-Kent Public Health,Tetanus,17,2021-2022,55.5
Chatham-Kent Public Health,Tetanus,7,2022-2023,90.1
Chatham-Kent Public Health,Tetanus,17,2022-2023,52.4
Chatham-Kent Public Health,Varicella,7,2013-2014,34.8
Chatham-Kent Public Health,Varicella,7,2014-2015,51.1
Chatham-Kent Public Health,Varicella,7,2015-2016,65.4
Chatham-Kent Public Health,Varicella,7,2016-2017,68.3
Chatham-Kent Public Health,Varicella,7,2017-2018,94
Chatham-Kent Public Health,Varicella,7,2018-2019,94.1
Chatham-Kent Public Health,Varicella,7,2019-2020,93.7
Chatham-Kent Public Health,Varicella,7,2020-2021,75.9
Chatham-Kent Public Health,Varicella,7,2021-2022,74.1
Chatham-Kent Public Health,Varicella,7,2022-2023,90.1
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2023-2024,65.3
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2023-2024,72.6
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,17,2023-2024,79.3
"Kingston, Frontenac and Lennox & Addington Public Health",Rota,7,2023-2024,83.7
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,17,2023-2024,86.3
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,17,2023-2024,88.4
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,12,2023-2024,88.9
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,17,2023-2024,86.2
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,17,2023-2024,86.3
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,7,2023-2024,91.6
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,7,2023-2024,92.5
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,17,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2023-2024,95.9
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,7,2023-2024,98.2
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2023-2024,96.5
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,17,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,7,2023-2024,96.4
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,17,2023-2024,97.4
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,7,2023-2024,95.9
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,7,2023-2024,96.3
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,17,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,7,2023-2024,98.5
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,17,2023-2024,98.8
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,7,2023-2024,95.9
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,7,2023-2024,95.8
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2013-2014,91.8
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2014-2015,94.3
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2015-2016,95.6
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2016-2017,96.5
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2017-2018,95.8
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2018-2019,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,17,2013-2014,57.2
