"Table with row headers in column A and column headers in rows 6 through 10","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Idaho","All people","1765","1","1574","10","89.2","0.5","1235","16","70","0.9","939","18","53.2","1","307","13","17.4","0.7","64","6","3.6","0.4","573","14","32.5","0.8","283","12","16","0.7","56","6","3.2","0.3","317","4","18","0.3","184","5","10.4","0.3","45","3","2.6","0.2","57","4","3.2","0.2","191","10","10.8","0.5"
"Idaho","Under 65 years","1481","2","1291","10","87.2","0.6","1059","16","71.5","1.1","869","18","58.7","1.2","191","12","12.9","0.8","37","6","2.5","0.4","296","13","20","0.9","256","12","17.3","0.8","42","5","2.9","0.4","40","4","2.7","0.3","14","2","0.9","0.1","19","2","1.3","0.2","24","3","1.6","0.2","190","10","12.8","0.6"
"Idaho","Under 19 years","475","3","451","5","95","0.8","300","10","63.1","2","251","10","52.8","2","46","6","9.6","1.2","12","3","2.5","0.6","172","8","36.3","1.8","172","9","36.2","1.8","21","4","4.4","0.8","2","1","0.3","0.2","Z","Z","Z","Z","1","1","0.2","0.1","Z","Z","0.1","0.1","24","4","5","0.8"
"Idaho","19 - 64 years","1006","4","840","9","83.5","0.8","760","10","75.5","0.9","618","11","61.4","1.1","146","8","14.5","0.8","25","4","2.5","0.4","123","7","12.3","0.7","84","6","8.4","0.6","21","3","2.1","0.3","38","4","3.8","0.4","14","2","1.4","0.2","18","2","1.8","0.2","24","3","2.4","0.3","166","8","16.5","0.8"
"Idaho","65 years and over","284","2","283","2","99.59999999999999","0.2","176","5","61.9","1.7","70","4","24.7","1.6","116","5","40.7","1.8","27","3","9.4","1","277","2","97.7","0.4","26","2","9.300000000000001","0.8","14","2","4.8","0.6","277","2","97.59999999999999","0.4","170","5","60","1.7","26","2","9.300000000000001","0.8","33","2","11.5","0.8","1","1","0.4","0.2"
"Illinois","All people","12488","3","11565","25","92.59999999999999","0.2","8760","45","70.09999999999999","0.4","7466","42","59.8","0.3","1534","24","12.3","0.2","155","9","1.2","0.1","4184","36","33.5","0.3","2274","35","18.2","0.3","245","10","2","0.1","2147","12","17.2","0.1","1170","13","9.4","0.1","310","9","2.5","0.1","208","7","1.7","0.1","923","25","7.4","0.2"
"Illinois","Under 65 years","10507","5","9600","24","91.40000000000001","0.2","7578","43","72.09999999999999","0.4","6821","41","64.90000000000001","0.4","871","23","8.300000000000001","0.2","103","8","1","0.1","2297","37","21.9","0.3","2071","35","19.7","0.3","175","10","1.7","0.1","262","10","2.5","0.1","67","5","0.6","Z","106","7","1","0.1","88","5","0.8","0.1","907","24","8.6","0.2"
"Illinois","Under 19 years","2982","6","2861","10","96","0.3","1898","23","63.6","0.7","1746","23","58.5","0.7","159","9","5.3","0.3","32","5","1.1","0.2","1054","21","35.4","0.7","1042","21","35","0.7","86","7","2.9","0.2","15","4","0.5","0.1","2","1","0.1","Z","6","2","0.2","0.1","4","2","0.1","0.1","120","9","4","0.3"
"Illinois","19 - 64 years","7525","9","6739","20","89.5","0.3","5680","28","75.5","0.4","5075","27","67.40000000000001","0.4","712","17","9.5","0.2","71","5","0.9","0.1","1243","22","16.5","0.3","1028","19","13.7","0.3","88","6","1.2","0.1","247","10","3.3","0.1","65","5","0.9","0.1","100","6","1.3","0.1","84","5","1.1","0.1","787","19","10.5","0.3"
"Illinois","65 years and over","1982","4","1965","5","99.2","0.1","1182","12","59.7","0.6","645","11","32.5","0.5","662","10","33.4","0.5","53","3","2.7","0.2","1887","6","95.2","0.2","204","7","10.3","0.4","70","5","3.6","0.2","1885","6","95.09999999999999","0.2","1103","12","55.7","0.6","204","7","10.3","0.4","120","5","6.1","0.3","17","3","0.8","0.1"
"Indiana","All people","6632","1","6053","19","91.3","0.3","4610","31","69.5","0.5","3900","33","58.8","0.5","811","18","12.2","0.3","110","8","1.7","0.1","2232","23","33.7","0.3","1171","25","17.7","0.4","165","9","2.5","0.1","1197","8","18","0.1","648","11","9.800000000000001","0.2","187","6","2.8","0.1","144","7","2.2","0.1","578","19","8.699999999999999","0.3"
"Indiana","Under 65 years","5584","3","5010","19","89.7","0.3","3985","27","71.40000000000001","0.5","3596","30","64.40000000000001","0.5","436","15","7.8","0.3","72","7","1.3","0.1","1214","24","21.7","0.4","1067","24","19.1","0.4","123","8","2.2","0.1","180","7","3.2","0.1","48","3","0.9","0.1","84","5","1.5","0.1","62","5","1.1","0.1","574","19","10.3","0.3"
"Indiana","Under 19 years","1664","5","1545","10","92.90000000000001","0.6","1060","16","63.7","1","973","16","58.5","1","88","8","5.3","0.4","25","4","1.5","0.3","551","15","33.1","0.9","544","15","32.7","0.9","65","6","3.9","0.4","11","2","0.6","0.1","2","1","0.1","Z","5","1","0.3","0.1","2","2","0.1","0.1","119","9","7.1","0.6"
"Indiana","19 - 64 years","3920","6","3465","13","88.40000000000001","0.3","2925","17","74.59999999999999","0.4","2624","20","66.90000000000001","0.5","348","11","8.9","0.3","47","5","1.2","0.1","663","14","16.9","0.3","523","14","13.3","0.4","58","4","1.5","0.1","170","6","4.3","0.2","46","3","1.2","0.1","79","5","2","0.1","60","5","1.5","0.1","455","13","11.6","0.3"
"Indiana","65 years and over","1048","3","1043","4","99.5","0.1","625","10","59.7","1","304","9","29","0.8","375","10","35.8","0.9","38","3","3.6","0.3","1018","4","97.2","0.3","103","5","9.9","0.5","42","3","4","0.3","1016","4","97","0.3","600","10","57.2","1","103","5","9.9","0.5","82","4","7.8","0.4","5","1","0.5","0.1"
"Iowa","All people","3112","1","2956","10","95","0.3","2277","21","73.2","0.7","1869","23","60.1","0.7","460","11","14.8","0.3","55","4","1.8","0.1","1123","18","36.1","0.6","603","17","19.4","0.6","110","7","3.5","0.2","587","5","18.9","0.2","352","6","11.3","0.2","92","5","3","0.2","80","5","2.6","0.1","156","10","5","0.3"
"Iowa","Under 65 years","2580","2","2426","10","94","0.4","1935","20","75","0.8","1745","22","67.59999999999999","0.9","220","10","8.5","0.4","35","4","1.3","0.2","604","18","23.4","0.7","550","17","21.3","0.7","84","6","3.3","0.2","69","5","2.7","0.2","21","2","0.8","0.1","39","4","1.5","0.1","34","4","1.3","0.1","154","10","6","0.4"
"Iowa","Under 19 years","765","4","743","5","97.09999999999999","0.5","506","10","66.09999999999999","1.4","465","11","60.8","1.5","45","4","5.9","0.5","11","2","1.4","0.3","280","11","36.6","1.3","278","11","36.3","1.3","42","4","5.5","0.5","3","1","0.4","0.2","1","Z","0.1","0.1","2","1","0.2","0.1","2","1","0.3","0.2","22","4","2.9","0.5"
"Iowa","19 - 64 years","1815","4","1683","9","92.7","0.4","1429","13","78.7","0.7","1280","14","70.5","0.7","175","7","9.6","0.4","24","3","1.3","0.2","325","10","17.9","0.5","272","9","15","0.5","42","4","2.3","0.2","65","5","3.6","0.3","20","2","1.1","0.1","37","3","2.1","0.2","32","3","1.7","0.2","132","8","7.3","0.4"
"Iowa","65 years and over","532","2","530","2","99.59999999999999","0.1","342","6","64.40000000000001","1.1","125","5","23.5","1","240","5","45.1","1","20","2","3.8","0.4","518","2","97.5","0.3","53","4","9.9","0.7","26","2","4.9","0.5","518","2","97.5","0.3","331","6","62.2","1.1","53","4","9.9","0.7","46","3","8.699999999999999","0.5","2","1","0.4","0.1"
"Kansas","All people","2852","3","2589","11","90.8","0.4","2121","17","74.40000000000001","0.6","1701","18","59.6","0.6","446","12","15.6","0.4","109","7","3.8","0.2","845","12","29.6","0.4","380","13","13.3","0.5","73","5","2.6","0.2","508","5","17.8","0.2","308","7","10.8","0.2","68","4","2.4","0.1","69","4","2.4","0.1","262","11","9.199999999999999","0.4"
"Kansas","Under 65 years","2392","4","2132","11","89.09999999999999","0.5","1822","15","76.2","0.6","1588","18","66.40000000000001","0.7","242","11","10.1","0.4","77","6","3.2","0.3","400","12","16.7","0.5","342","12","14.3","0.5","56","5","2.3","0.2","63","4","2.7","0.2","22","3","0.9","0.1","30","3","1.3","0.1","32","3","1.3","0.1","260","11","10.9","0.5"
"Kansas","Under 19 years","740","4","697","6","94.2","0.7","508","9","68.7","1.1","448","9","60.6","1.2","51","4","6.9","0.6","32","4","4.3","0.5","220","8","29.7","1.1","218","8","29.4","1.1","30","4","4","0.5","3","1","0.4","0.1","1","1","0.1","0.1","1","1","0.2","0.1","2","1","0.3","0.2","43","5","5.8","0.7"
"Kansas","19 - 64 years","1652","5","1436","9","86.90000000000001","0.5","1314","10","79.5","0.6","1140","12","69","0.7","191","8","11.6","0.5","45","3","2.7","0.2","181","7","10.9","0.4","124","7","7.5","0.4","26","3","1.6","0.2","61","4","3.7","0.2","21","3","1.3","0.2","29","3","1.7","0.2","30","3","1.8","0.2","217","8","13.1","0.5"
"Kansas","65 years and over","460","2","457","2","99.40000000000001","0.2","299","6","65","1.3","112","5","24.5","1","204","6","44.4","1.2","32","3","7","0.6","445","3","96.7","0.4","38","2","8.199999999999999","0.5","17","1","3.7","0.3","444","3","96.59999999999999","0.4","286","6","62.2","1.4","38","2","8.199999999999999","0.5","37","2","7.9","0.5","3","1","0.6","0.2"
"Kentucky","All people","4385","2","4102","13","93.59999999999999","0.3","2795","25","63.7","0.6","2320","27","52.9","0.6","513","14","11.7","0.3","121","8","2.8","0.2","1893","24","43.2","0.5","1135","25","25.9","0.6","139","8","3.2","0.2","899","8","20.5","0.2","471","8","10.7","0.2","180","7","4.1","0.2","118","5","2.7","0.1","283","14","6.4","0.3"
"Kentucky","Under 65 years","3653","4","3373","13","92.3","0.4","2351","25","64.40000000000001","0.7","2087","26","57.1","0.7","268","11","7.3","0.3","79","6","2.2","0.2","1177","24","32.2","0.7","1034","24","28.3","0.7","100","7","2.7","0.2","184","8","5","0.2","41","3","1.1","0.1","79","5","2.2","0.1","51","4","1.4","0.1","280","13","7.7","0.4"
"Kentucky","Under 19 years","1059","5","1013","7","95.7","0.5","588","13","55.5","1.2","523","14","49.5","1.3","56","5","5.3","0.5","22","3","2.1","0.3","470","13","44.4","1.2","466","13","44","1.2","43","5","4.1","0.4","7","2","0.7","0.2","1","Z","0.1","Z","4","1","0.4","0.1","2","1","0.2","0.1","45","5","4.3","0.5"
"Kentucky","19 - 64 years","2595","6","2359","12","90.90000000000001","0.4","1764","17","68","0.6","1563","17","60.2","0.7","212","8","8.199999999999999","0.3","56","5","2.2","0.2","707","16","27.2","0.6","569","15","21.9","0.6","56","4","2.2","0.2","177","7","6.8","0.3","41","3","1.6","0.1","75","5","2.9","0.2","49","4","1.9","0.2","235","11","9.1","0.4"
"Kentucky","65 years and over","732","3","729","3","99.7","0.1","443","8","60.6","1","234","7","32","0.9","246","8","33.6","1","43","3","5.8","0.5","716","4","97.90000000000001","0.3","101","5","13.8","0.6","40","3","5.4","0.4","715","4","97.8","0.3","429","8","58.7","1","101","5","13.8","0.6","68","4","9.199999999999999","0.5","2","1","0.3","0.1"
"Louisiana","All people","4540","3","4135","14","91.09999999999999","0.3","2625","30","57.8","0.7","2160","29","47.6","0.6","509","16","11.2","0.4","121","9","2.7","0.2","2013","24","44.3","0.5","1320","23","29.1","0.5","142","8","3.1","0.2","848","10","18.7","0.2","385","10","8.5","0.2","194","9","4.3","0.2","101","6","2.2","0.1","404","14","8.9","0.3"
"Louisiana","Under 65 years","3817","4","3418","14","89.5","0.4","2247","28","58.9","0.7","1941","28","50.9","0.7","321","16","8.4","0.4","76","9","2","0.2","1318","24","34.5","0.6","1205","23","31.6","0.6","100","7","2.6","0.2","154","8","4","0.2","31","3","0.8","0.1","79","6","2.1","0.2","47","4","1.2","0.1","399","14","10.5","0.4"
"Louisiana","Under 19 years","1149","5","1099","9","95.59999999999999","0.6","555","14","48.3","1.2","486","13","42.3","1.1","59","7","5.2","0.6","27","5","2.4","0.4","589","14","51.2","1.2","585","14","50.9","1.2","44","5","3.8","0.5","4","1","0.4","0.1","1","1","0.1","0.1","2","1","0.2","0.1","2","2","0.2","0.1","50","7","4.4","0.6"
"Louisiana","19 - 64 years","2668","7","2319","13","86.90000000000001","0.4","1692","20","63.4","0.7","1455","20","54.5","0.7","262","12","9.800000000000001","0.5","49","5","1.8","0.2","729","16","27.3","0.6","620","15","23.2","0.6","56","5","2.1","0.2","150","8","5.6","0.3","30","3","1.1","0.1","76","6","2.9","0.2","45","4","1.7","0.1","349","12","13.1","0.4"
"Louisiana","65 years and over","723","4","718","3","99.3","0.2","377","10","52.2","1.3","219","8","30.3","1.2","188","8","26","1","45","4","6.2","0.5","695","4","96.2","0.5","115","6","16","0.8","42","4","5.7","0.5","694","5","96","0.5","354","9","49","1.3","115","6","16","0.8","54","4","7.5","0.5","5","1","0.7","0.2"
"Maine","All people","1328","1","1221","7","92","0.5","922","11","69.5","0.9","727","13","54.8","1","199","9","15","0.6","48","5","3.6","0.4","513","10","38.6","0.8","260","10","19.5","0.8","60","4","4.5","0.3","315","3","23.7","0.3","172","5","12.9","0.4","75","4","5.7","0.3","44","3","3.3","0.2","107","7","8","0.5"
"Maine","Under 65 years","1050","2","944","7","89.90000000000001","0.7","755","10","71.90000000000001","0.9","645","11","61.4","1.1","110","7","10.5","0.7","25","4","2.4","0.4","244","10","23.3","1","212","10","20.2","0.9","39","4","3.8","0.3","47","3","4.4","0.3","13","2","1.2","0.2","28","2","2.6","0.2","18","2","1.7","0.2","106","7","10.1","0.7"
"Maine","Under 19 years","262","2","247","4","94.40000000000001","1.1","172","6","65.59999999999999","2.2","151","6","57.6","2.2","19","3","7.2","1.2","8","2","2.9","0.9","92","6","35.3","2.1","91","6","34.9","2.1","17","3","6.3","1","1","1","0.4","0.2","1","1","0.3","0.2","1","1","0.3","0.2","1","1","0.3","0.2","15","3","5.6","1.1"
"Maine","19 - 64 years","788","3","697","6","88.40000000000001","0.7","583","7","74","0.8","494","8","62.7","1.1","91","5","11.5","0.7","18","3","2.3","0.3","152","6","19.3","0.8","120","6","15.3","0.8","23","2","2.9","0.3","45","3","5.8","0.4","12","2","1.5","0.2","27","2","3.4","0.3","17","2","2.2","0.3","92","6","11.6","0.7"
"Maine","65 years and over","278","1","277","1","99.90000000000001","0.1","168","4","60.3","1.5","82","4","29.6","1.5","90","4","32.3","1.5","23","2","8.199999999999999","0.8","269","2","96.90000000000001","0.6","48","3","17.2","1.1","21","2","7.5","0.8","269","2","96.8","0.6","159","4","57.3","1.6","48","3","17.2","1.1","26","2","9.4","0.6","Z","Z","0.1","0.1"
"Maryland","All people","5946","2","5589","15","94","0.3","4398","32","74","0.5","3753","33","63.1","0.6","729","18","12.3","0.3","229","12","3.9","0.2","1991","25","33.5","0.4","1096","25","18.4","0.4","174","10","2.9","0.2","1018","12","17.1","0.2","652","9","11","0.2","175","8","2.9","0.1","112","5","1.9","0.1","357","15","6","0.3"
"Maryland","Under 65 years","5009","4","4661","15","93.09999999999999","0.3","3738","29","74.59999999999999","0.6","3284","30","65.59999999999999","0.6","465","18","9.300000000000001","0.4","167","11","3.3","0.2","1113","24","22.2","0.5","982","23","19.6","0.5","119","9","2.4","0.2","141","10","2.8","0.2","43","4","0.9","0.1","61","5","1.2","0.1","60","4","1.2","0.1","348","15","6.9","0.3"
"Maryland","Under 19 years","1411","4","1363","8","96.59999999999999","0.5","927","15","65.7","1.1","812","16","57.6","1.1","93","8","6.6","0.6","61","6","4.3","0.4","490","14","34.8","1","478","14","33.9","1","51","5","3.6","0.4","18","4","1.3","0.3","2","1","0.2","0.1","7","2","0.5","0.1","4","2","0.2","0.1","48","6","3.4","0.5"
"Maryland","19 - 64 years","3598","5","3298","12","91.7","0.3","2811","19","78.09999999999999","0.5","2471","20","68.7","0.5","372","13","10.3","0.4","107","7","3","0.2","623","15","17.3","0.4","504","14","14","0.4","68","6","1.9","0.2","124","8","3.4","0.2","41","4","1.1","0.1","54","4","1.5","0.1","57","4","1.6","0.1","300","12","8.300000000000001","0.3"
"Maryland","65 years and over","937","3","928","3","99","0.2","660","8","70.5","0.8","469","8","50.1","0.8","264","6","28.1","0.7","62","4","6.6","0.5","877","5","93.59999999999999","0.4","114","5","12.1","0.6","55","4","5.9","0.4","877","5","93.5","0.4","609","8","65","0.8","114","5","12.1","0.6","51","3","5.5","0.3","9","2","1","0.2"
"Massachusetts","All people","6821","1","6617","10","97","0.2","5068","28","74.3","0.4","4305","29","63.1","0.4","961","20","14.1","0.3","79","6","1.2","0.1","2461","30","36.1","0.4","1499","30","22","0.4","269","9","3.9","0.1","1221","8","17.9","0.1","716","12","10.5","0.2","285","10","4.2","0.1","98","5","1.4","0.1","204","10","3","0.2"
"Massachusetts","Under 65 years","5684","3","5485","10","96.5","0.2","4336","26","76.3","0.5","3868","28","68.09999999999999","0.5","578","17","10.2","0.3","43","5","0.8","0.1","1387","30","24.4","0.5","1309","29","23","0.5","195","9","3.4","0.2","147","6","2.6","0.1","43","4","0.8","0.1","96","5","1.7","0.1","36","3","0.6","0.1","199","10","3.5","0.2"
"Massachusetts","Under 19 years","1446","5","1424","5","98.5","0.2","1008","15","69.7","1","922","14","63.8","0.9","103","7","7.1","0.5","12","3","0.9","0.2","500","15","34.6","1","498","15","34.4","1","83","6","5.7","0.4","5","2","0.4","0.1","2","1","0.1","0.1","4","2","0.3","0.1","2","1","0.1","0.1","22","3","1.5","0.2"
"Massachusetts","19 - 64 years","4238","5","4061","10","95.8","0.2","3328","18","78.5","0.4","2946","20","69.5","0.5","475","13","11.2","0.3","31","3","0.7","0.1","887","19","20.9","0.5","812","19","19.2","0.4","113","6","2.7","0.1","142","6","3.4","0.1","41","3","1","0.1","92","5","2.2","0.1","34","3","0.8","0.1","177","10","4.2","0.2"
"Massachusetts","65 years and over","1137","3","1132","3","99.59999999999999","0.1","731","10","64.3","0.9","437","10","38.5","0.9","383","9","33.7","0.8","36","3","3.2","0.3","1074","5","94.5","0.4","189","8","16.7","0.7","73","4","6.5","0.4","1074","5","94.40000000000001","0.4","673","11","59.2","0.9","189","8","16.7","0.7","63","4","5.5","0.3","5","1","0.4","0.1"
"Michigan","All people","9879","1","9308","17","94.2","0.2","7015","35","71","0.4","5976","34","60.5","0.3","1293","21","13.1","0.2","132","7","1.3","0.1","3829","29","38.8","0.3","2154","31","21.8","0.3","360","11","3.6","0.1","1988","10","20.1","0.1","1267","12","12.8","0.1","372","10","3.8","0.1","200","7","2","0.1","571","18","5.8","0.2"
"Michigan","Under 65 years","8150","4","7584","18","93.09999999999999","0.2","5805","32","71.2","0.4","5188","32","63.7","0.4","725","18","8.9","0.2","75","6","0.9","0.1","2143","29","26.3","0.4","1940","29","23.8","0.4","262","9","3.2","0.1","304","8","3.7","0.1","96","5","1.2","0.1","158","7","1.9","0.1","81","5","1","0.1","566","17","6.9","0.2"
"Michigan","Under 19 years","2280","5","2203","8","96.59999999999999","0.3","1475","16","64.7","0.7","1354","16","59.4","0.7","136","8","5.9","0.3","22","3","1","0.1","855","17","37.5","0.7","850","17","37.3","0.7","126","7","5.5","0.3","11","2","0.5","0.1","3","1","0.1","0.1","7","2","0.3","0.1","3","1","0.1","0.1","78","6","3.4","0.3"
"Michigan","19 - 64 years","5869","7","5381","16","91.7","0.2","4330","22","73.8","0.4","3834","23","65.3","0.4","589","14","10","0.2","53","4","0.9","0.1","1287","18","21.9","0.3","1089","18","18.6","0.3","136","6","2.3","0.1","292","8","5","0.1","94","5","1.6","0.1","151","6","2.6","0.1","77","5","1.3","0.1","488","14","8.300000000000001","0.2"
"Michigan","65 years and over","1730","3","1725","4","99.7","0.1","1210","9","70","0.5","788","10","45.5","0.6","568","9","32.8","0.5","56","4","3.3","0.2","1686","5","97.5","0.2","215","7","12.4","0.4","98","4","5.7","0.3","1685","5","97.40000000000001","0.2","1171","9","67.7","0.5","215","7","12.4","0.4","119","4","6.9","0.2","5","1","0.3","0.1"
"Minnesota","All people","5581","1","5308","13","95.09999999999999","0.2","4234","25","75.90000000000001","0.4","3495","22","62.6","0.4","851","12","15.2","0.2","80","5","1.4","0.1","1835","20","32.9","0.4","963","20","17.3","0.4","151","8","2.7","0.1","955","6","17.1","0.1","622","8","11.2","0.1","118","5","2.1","0.1","130","5","2.3","0.1","273","13","4.9","0.2"
"Minnesota","Under 65 years","4689","3","4419","14","94.2","0.3","3613","23","77.09999999999999","0.5","3274","21","69.8","0.5","396","11","8.4","0.2","47","5","1","0.1","972","19","20.7","0.4","885","20","18.9","0.4","120","8","2.6","0.2","93","5","2","0.1","28","3","0.6","0.1","40","3","0.9","0.1","40","3","0.9","0.1","270","13","5.8","0.3"
"Minnesota","Under 19 years","1378","4","1336","7","96.90000000000001","0.4","973","12","70.59999999999999","0.9","899","12","65.2","0.9","78","5","5.6","0.4","16","3","1.2","0.2","433","13","31.4","0.9","430","13","31.2","0.9","69","6","5","0.4","3","1","0.2","0.1","1","1","0.1","Z","2","Z","0.1","Z","1","Z","0.1","Z","42","5","3.1","0.4"
"Minnesota","19 - 64 years","3311","5","3083","12","93.09999999999999","0.3","2640","16","79.7","0.4","2375","15","71.7","0.4","318","8","9.6","0.3","31","3","0.9","0.1","540","11","16.3","0.3","455","11","13.8","0.3","51","4","1.6","0.1","90","4","2.7","0.1","27","2","0.8","0.1","39","3","1.2","0.1","39","3","1.2","0.1","228","10","6.9","0.3"
"Minnesota","65 years and over","892","3","889","3","99.7","0.1","621","7","69.59999999999999","0.7","221","5","24.7","0.6","455","7","51.1","0.8","33","2","3.7","0.2","863","4","96.8","0.3","77","4","8.699999999999999","0.5","31","3","3.5","0.3","862","4","96.59999999999999","0.3","594","7","66.59999999999999","0.7","77","4","8.699999999999999","0.5","90","3","10.1","0.4","3","1","0.3","0.1"
"Mississippi","All people","2905","2","2528","15","87","0.5","1705","27","58.7","0.9","1338","26","46.1","0.9","357","12","12.3","0.4","115","9","4","0.3","1145","20","39.4","0.7","697","20","24","0.7","81","6","2.8","0.2","573","7","19.7","0.3","263","8","9.1","0.3","149","8","5.1","0.3","69","5","2.4","0.2","377","15","13","0.5"
"Mississippi","Under 65 years","2431","3","2056","15","84.59999999999999","0.6","1457","26","59.9","1","1238","25","50.9","1","209","10","8.6","0.4","71","8","2.9","0.3","681","19","28","0.8","610","19","25.1","0.8","54","5","2.2","0.2","110","7","4.5","0.3","23","3","0.9","0.1","62","5","2.5","0.2","29","3","1.2","0.1","375","15","15.4","0.6"
"Mississippi","Under 19 years","745","6","699","7","93.90000000000001","0.7","341","12","45.8","1.6","286","13","38.5","1.7","41","5","5.5","0.6","26","4","3.5","0.6","380","12","51","1.6","378","12","50.8","1.6","21","3","2.8","0.4","4","2","0.6","0.2","1","Z","0.1","0.1","3","2","0.4","0.2","1","1","0.1","0.1","46","5","6.1","0.7"
"Mississippi","19 - 64 years","1686","7","1357","13","80.5","0.7","1116","18","66.09999999999999","1","952","17","56.4","1","168","8","10","0.5","45","5","2.7","0.3","301","12","17.9","0.7","231","11","13.7","0.7","33","4","2","0.2","106","6","6.3","0.4","22","3","1.3","0.2","58","5","3.5","0.3","28","3","1.7","0.2","330","12","19.5","0.7"
"Mississippi","65 years and over","473","3","472","3","99.7","0.1","249","6","52.5","1.3","100","6","21","1.2","148","6","31.2","1.3","44","4","9.199999999999999","0.8","464","3","97.90000000000001","0.4","87","5","18.4","1","26","3","5.6","0.6","463","3","97.8","0.4","240","7","50.8","1.4","87","5","18.4","1","39","3","8.300000000000001","0.6","2","1","0.3","0.1"
"Missouri","All people","6021","2","5417","19","90","0.3","4196","30","69.7","0.5","3438","31","57.1","0.5","803","17","13.3","0.3","163","9","2.7","0.1","1941","20","32.2","0.3","874","19","14.5","0.3","120","7","2","0.1","1176","8","19.5","0.1","604","10","10","0.2","170","7","2.8","0.1","163","7","2.7","0.1","604","19","10","0.3"
"Missouri","Under 65 years","4998","4","4400","19","88","0.4","3617","27","72.40000000000001","0.5","3165","30","63.3","0.6","463","16","9.300000000000001","0.3","103","9","2.1","0.2","946","20","18.9","0.4","780","19","15.6","0.4","86","7","1.7","0.1","182","8","3.6","0.2","47","4","0.9","0.1","76","5","1.5","0.1","72","5","1.4","0.1","598","18","12","0.4"
"Missouri","Under 19 years","1447","6","1352","8","93.5","0.5","925","13","64","0.9","813","14","56.2","0.9","105","8","7.3","0.5","31","4","2.1","0.3","472","14","32.7","1","466","14","32.2","1","44","5","3.1","0.3","8","2","0.6","0.2","1","1","0.1","0.1","3","2","0.2","0.1","2","1","0.1","0.1","95","7","6.5","0.5"
"Missouri","19 - 64 years","3552","7","3048","18","85.8","0.5","2692","20","75.8","0.5","2353","21","66.2","0.6","358","12","10.1","0.3","72","6","2","0.2","474","11","13.3","0.3","314","10","8.800000000000001","0.3","42","4","1.2","0.1","174","7","4.9","0.2","46","4","1.3","0.1","73","5","2.1","0.1","70","5","2","0.1","504","16","14.2","0.5"
"Missouri","65 years and over","1022","3","1017","3","99.5","0.1","579","9","56.7","0.9","272","8","26.7","0.7","339","7","33.2","0.7","60","4","5.9","0.4","995","4","97.3","0.3","94","4","9.199999999999999","0.4","33","2","3.3","0.2","994","4","97.2","0.3","557","9","54.5","0.9","94","4","9.199999999999999","0.4","90","4","8.800000000000001","0.4","5","1","0.5","0.1"
"Montana","All people","1054","1","967","6","91.7","0.5","698","10","66.3","0.9","512","12","48.6","1.1","195","8","18.5","0.8","40","4","3.8","0.4","428","9","40.6","0.9","222","9","21","0.9","38","4","3.6","0.4","224","3","21.3","0.3","124","4","11.7","0.4","32","3","3.1","0.2","44","4","4.2","0.4","87","6","8.300000000000001","0.5"
"Montana","Under 65 years","850","2","764","6","89.8","0.7","578","9","68","1.1","468","11","55","1.3","115","7","13.6","0.8","26","4","3","0.5","230","10","27","1.1","201","9","23.6","1.1","29","4","3.4","0.4","26","2","3","0.3","7","1","0.9","0.1","12","1","1.4","0.2","19","3","2.2","0.3","87","6","10.2","0.7"
"Montana","Under 19 years","242","2","227","3","93.8","0.9","139","5","57.4","2","115","5","47.7","2.1","23","3","9.4","1.3","9","2","3.7","1","102","6","42","2.3","101","6","41.8","2.3","14","2","5.6","1","1","1","0.3","0.2","0","0","0","0","Z","Z","0.2","0.2","Z","Z","0.1","0.1","15","2","6.2","0.9"
"Montana","19 - 64 years","609","3","537","5","88.2","0.8","439","7","72.09999999999999","1.2","352","8","57.9","1.3","93","6","15.2","0.9","17","2","2.7","0.4","128","6","21","1","100","5","16.4","0.9","15","2","2.5","0.4","25","2","4.1","0.3","7","1","1.2","0.2","11","1","1.8","0.2","19","2","3.1","0.4","72","5","11.8","0.8"
"Montana","65 years and over","203","2","203","2","99.8","0.1","120","3","59.2","1.6","45","3","22","1.4","80","3","39.2","1.5","15","2","7.2","1","199","2","97.7","0.4","21","2","10.2","1.1","9","1","4.6","0.6","198","2","97.7","0.5","116","4","57.2","1.7","21","2","10.2","1.1","25","2","12.3","1.2","1","Z","0.2","0.1"
"Nebraska","All people","1904","1","1746","8","91.7","0.4","1432","13","75.2","0.7","1145","13","60.1","0.7","317","10","16.7","0.5","63","5","3.3","0.2","539","11","28.3","0.6","244","11","12.8","0.6","45","5","2.4","0.2","326","3","17.1","0.2","183","4","9.6","0.2","47","3","2.5","0.2","51","3","2.7","0.2","158","8","8.300000000000001","0.4"
"Nebraska","Under 65 years","1603","2","1446","8","90.2","0.5","1249","12","77.90000000000001","0.7","1078","12","67.2","0.8","194","9","12.1","0.6","41","4","2.6","0.3","248","11","15.5","0.7","215","11","13.4","0.7","32","4","2","0.3","35","3","2.2","0.2","10","1","0.6","0.1","18","2","1.1","0.1","20","2","1.2","0.1","157","8","9.800000000000001","0.5"
