"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High,"4,937",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,233,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"5,170",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"21,994",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,26.5,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,23.4,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,26.7,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,22.4,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,1.1,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,23.5,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,31.3,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,5.7,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,27.4,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,356,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,665,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,"2,222",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,"4,474",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,84,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"4,558",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"7,801",,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,4.6,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,8.5,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,28.5,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,57.4,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,1.1,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,58.5,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,11.1,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,4.5,,
Regional,Nova Scotia,1202,Northern Zone,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,8.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"50,139",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"6,404",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"9,555",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,High,"7,357",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"9,844",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"17,201",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"83,299",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,60.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,7.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,11.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,8.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,11.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,High/very high,20.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,17.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,All service provider groups,Total hospitalization rate,Total,84.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,Very low,"26,781",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,Low,"3,106",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,Moderate,"4,466",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,High,"2,026",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,Very high,"1,505",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,High/very high,"3,531",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Number of hospitalizations,Total,"37,884",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Very low,70.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Low,8.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Moderate,11.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,High,5.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Very high,4,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,High/very high,9.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,3.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Family medicine,Total hospitalization rate,Total,35.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Very low,94,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Low,19,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Moderate,41,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,High,38,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Very high,53,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,High/very high,91,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Total,245,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very low,38.4,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Low,7.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Moderate,16.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,High,15.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very high,21.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,High/very high,37.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,General pediatrics,Total hospitalization rate,Total,0.4,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"2,858",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,326,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,533,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,841,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"2,658",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"3,499",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"7,216",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,39.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,4.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,7.4,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,11.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,36.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,48.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,3.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,6.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"5,200",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"1,346",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,983,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High,439,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,408,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,847,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"8,376",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,62.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,16.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,11.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,5.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,4.9,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,10.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,1.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Obstetric and gynecology,Total hospitalization rate,Total,12.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Very low,"2,099",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Low,247,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Moderate,431,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,High,269,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Very high,255,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,High/very high,524,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Total,"3,301",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very low,63.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Low,7.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Moderate,13.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,High,8.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very high,7.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,High/very high,15.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Psychiatry,Total hospitalization rate,Total,4.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,Very low,"10,069",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,Low,"1,032",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,Moderate,"2,524",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,High,"3,184",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,Very high,"4,061",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,High/very high,"7,245",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Number of hospitalizations,Total,"20,870",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,48.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Low,4.9,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,12.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Percentage of hospitalizations,High,15.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,19.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,34.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,6.9,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,All levels,Surgery,Total hospitalization rate,Total,19.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,Very low,"33,481",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,Low,"4,136",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"5,772",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,High,"2,832",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,Very high,"2,319",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"5,151",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Number of hospitalizations,Total,"48,540",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,69,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Low,8.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,11.9,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,High,5.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,4.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,10.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Total,58.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,5.4,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,General,All service provider groups,Total hospitalization rate,Total,47.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"15,120",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"2,128",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"3,339",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High,"2,551",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,"2,843",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"5,394",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"25,981",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,58.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,8.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,12.9,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,9.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,10.9,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,20.7,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,31.2,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,5.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,29.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,"1,538",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,140,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,444,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,"1,974",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,"4,682",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"6,656",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"8,778",,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,17.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,1.6,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,5.1,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,22.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,53.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,75.8,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,10.5,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,6.3,,
Regional,Nova Scotia,1203,Eastern Zone,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,8.4,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"129,038",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"1,957",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"5,988",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,High,"1,378",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"4,008",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"5,386",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"142,369",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,90.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,1.4,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,4.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,1,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,2.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Percentage of hospitalizations,High/very high,3.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,2.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,All service provider groups,Total hospitalization rate,Total,57.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,Very low,"42,368",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,Low,159,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,Moderate,"1,895",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,High,549,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,Very high,"1,857",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,High/very high,"2,406",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Number of hospitalizations,Total,"46,828",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Very low,90.5,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Low,0.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Moderate,4,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,High,1.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,Very high,4,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Percentage of hospitalizations,High/very high,5.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,1,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Family medicine,Total hospitalization rate,Total,19.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Very low,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Low,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Moderate,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,High,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Very high,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,High/very high,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Number of hospitalizations,Total,"1,070",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very low,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Low,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Moderate,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,High,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very high,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Percentage of hospitalizations,High/very high,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,†,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,General pediatrics,Total hospitalization rate,Total,0.5,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"10,546",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,64,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,694,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,97,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,335,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,432,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"11,736",,
